ticker,sector,mktcap,alphaquant_score,decile,score_raw
IBRX,Health Care,1783.8873600000002,100,10,0.9032756090164185
HTZ,Industrials,1122.4854,100,10,0.6361298561096191
HE,Utilities,1678.0941800000003,100,10,0.619109034538269
CAR,Industrials,2832.55479,100,10,0.46692946553230286
LEG,Cons Disc,1289.232,100,10,0.4614790081977844
OPEN,Real Estate,1144.112,100,10,0.41312316060066223
UNFI,Cons Staples,1636.38789,100,10,0.40003150701522827
SMTC,Tech,4663.6137,100,10,0.39773422479629517
GTLB,Tech,7918.7528,100,10,0.39026129245758057
W,Cons Disc,4415.46864,100,10,0.37539419531822205
BBIO,Health Care,5185.80328,99,10,0.3738958239555359
ARQT,Health Care,1629.79607,99,10,0.36636316776275635
TDOC,Health Care,1564.99803,99,10,0.3637858033180237
WBA,Cons Staples,8066.87661,99,10,0.3612464666366577
OMI,Health Care,1007.81463,99,10,0.35819441080093384
REAL,Cons Disc,1198.9226299999998,99,10,0.3560996949672699
XRX,Tech,1048.47282,99,10,0.3418237268924713
FL,Cons Disc,2064.7846400000003,99,10,0.33768221735954285
PARR,Energy,917.05328,99,10,0.33013957738876343
MBLY,Cons Disc,1982.9961600000001,99,10,0.3116990923881531
KVYO,Tech,3249.87696,99,10,0.30772143602371216
FLG,Financials,3873.02295,99,10,0.30706340074539185
CC,Materials,2525.0459,99,10,0.30167055130004883
RYTM,Health Care,3439.1872799999996,99,10,0.30118319392204285
ACDC,Energy,1242.74072,99,10,0.2955164313316345
COMM,Tech,1124.7295900000001,99,10,0.28810781240463257
AMN,Health Care,910.73008,99,10,0.286837637424469
RDFN,Real Estate,975.72259999999994,99,10,0.28623175621032715
WOOF,Cons Disc,906.26946,98,10,0.28551387786865234
RUN,Industrials,2075.13575,98,10,0.2806335985660553
CUBI,Financials,1526.06932,98,10,0.27805688977241516
LNC,Financials,5401.57653,98,10,0.2763945758342743
INSM,Health Care,12351.46312,98,10,0.2758793532848358
LC,Financials,1819.7883800000002,98,10,0.27467188239097595
