config,n_months,ann_ret,mkt_ret,ann_vol,sharpe,mkt_sharpe,beta,capm_a,capm_t,ff6_a,ff6_t
"Best-cfg, 25 names",175,0.10139934515953208,0.14970197016815345,0.26849736091453463,0.45192774807252406,0.9344837369379819,1.4793664982073331,-0.08511390869458588,-2.047621575754602,-0.030587060760235433,-0.99957839057858
"Best-cfg, 50 names",175,0.11270800162147987,0.14970197016815345,0.240301999345034,0.516975119176072,0.9344837369379819,1.3883630719685236,-0.0695250354723187,-2.0956475011176274,-0.025522780102665264,-1.1021448640445526
"Best-cfg, 100 names",143,0.055541318466288514,0.10384931718117474,0.22207929338434662,0.29161331241323535,0.6524975117331714,1.3316682096624979,-0.06267657559297027,-2.0036921411989614,-0.03424803236580978,-1.7270682161110282
"Best-cfg, 50 @ 50bp",175,0.09951369503315077,0.14970197016815345,0.240301999345034,0.46703795663598857,0.9344837369379819,1.3883630719685234,-0.08152503547231875,-2.457355623128212,-0.03752278010266531,-1.6203383490541878
"All sectors, 50 5 200k",120,0.09791126789949711,0.125747621759996,0.16459478363189906,0.5481991859583634,0.7230700153987943,0.9837135823050263,-0.022424153045571594,-1.2991013534809328,-0.0183619458571081,-1.261815366988081
"All sectors, 50 6 200k",118,0.09478829090711405,0.12267548984535415,0.1657090793131624,0.5266154437685752,0.7005671243629161,0.9837999419840006,-0.02257713691229502,-1.2858850196855807,-0.01842745209116434,-1.2378036577361988
"All sectors, 50 7 200k",116,0.09926657046596166,0.12688580286488582,0.16635799035488896,0.5482169403257813,0.7186967566505927,0.9808461297984025,-0.02191496589088916,-1.2278573226224412,-0.017925997963714104,-1.1820911485042578
"All sectors, 50 8 200k",114,0.10125364723445851,0.12869265772107918,0.16692588295037397,0.5560693471291702,0.7233169441003129,0.9782227954680589,-0.02145464992360972,-1.1902131713734572,-0.017060925190611462,-1.1143520573772872
"All sectors, 50 9 200k",112,0.09251444803251108,0.12235472059401964,0.16695679249046277,0.5060591559578775,0.6834508007276351,0.9732769534767043,-0.023512444444680022,-1.3021548278704294,-0.017247134975084483,-1.1236314026077423
"All sectors, 50 5 1000",176,0.11758011677622049,0.14431905685551083,0.24929609551400927,0.5230183606301104,0.900086295041076,1.4015719667524815,-0.058777999461857564,-1.6167140116652157,0.010819700615588566,0.47125363719228747
"All sectors, 50 6 1000",175,0.12935213030159987,0.14970197016815345,0.24824766754849514,0.566641958037766,0.9344837369379819,1.3970697334191147,-0.05430271762461239,-1.4804425307527493,0.014415103902534601,0.6281126783715506
"All sectors, 50 7 1000",174,0.12457728876502427,0.14531935533553453,0.24789822012958465,0.5495481489845906,0.9099872190006754,1.39546083742663,-0.052973233810574595,-1.4381611706531805,0.0146655029046215,0.6374490623263972
"All sectors, 50 8 1000",173,0.12920255050922913,0.15010208776030654,0.24617183865771355,0.5683405010137345,0.9398948229065863,1.3882676079507916,-0.0540018674399885,-1.4657320265008527,0.011070102995412187,0.4840569717246066
"All sectors, 50 9 1000",172,0.10756529849757701,0.14372888690185137,0.26630487180518964,0.4713964513288779,0.9081070466615327,1.4464951507626909,-0.06804624693802293,-1.553552379284223,0.005569091485286417,0.19040087961814803
"All sectors, 25 5 2000",176,0.12354346577844577,0.14431905685551083,0.24684301734392736,0.5466863415295478,0.900086295041076,1.371734293281445,-0.050191659840039635,-1.359174193537837,0.015253306650064115,0.5364273929399143
"All sectors, 25 6 2000",175,0.13139282599321023,0.14970197016815345,0.24616835001092527,0.5758284886527641,0.9344837369379819,1.369618666071959,-0.04938853626064038,-1.3246916245766587,0.014996826336299323,0.5208508702535164
"All sectors, 25 7 2000",174,0.12538578609542772,0.14531935533553453,0.24537289367052073,0.5548427826724972,0.9099872190006754,1.3713269564836925,-0.04978964132806207,-1.3450293353179303,0.012738325088520294,0.4475275190375939
"All sectors, 25 8 2000",173,0.12898657024588234,0.15010208776030654,0.24403679844143208,0.569585883825495,0.9398948229065863,1.3662647965271542,-0.05183805585645596,-1.397722397674118,0.008900621015724764,0.3134291284420508
"All sectors, 25 9 2000",172,0.11864945133813043,0.14372888690185137,0.24061019086579782,0.5359718423340329,0.9081070466615327,1.3531347065566883,-0.052126898353387616,-1.412651878715172,0.008230203524652731,0.29459647939613637
"All sectors, 25 5 1000",176,0.10225134910311229,0.14431905685551083,0.274800247322648,0.44763667299689286,0.900086295041076,1.4808634122866289,-0.07685540822849721,-1.7505615408864632,0.0023090971686715754,0.07713027896663033
"All sectors, 25 6 1000",175,0.11641812220435499,0.14970197016815345,0.27347149013384725,0.49543942643623085,0.9344837369379819,1.47806978757232,-0.07078579366717522,-1.6079200040268515,0.007414678336633989,0.24931780515148125
"All sectors, 25 7 1000",174,0.11083076610138365,0.14531935533553453,0.2732125447921538,0.47682118881374114,0.9099872190006754,1.4765664895131632,-0.06992851913702457,-1.5818682993290283,0.00797468993155,0.2677243577730516
"All sectors, 25 8 1000",173,0.11596525425005377,0.15010208776030654,0.27080162911012406,0.49585948669121055,0.9398948229065863,1.462788264133399,-0.07004067862682525,-1.5810246670926207,0.004941112095267945,0.16600459345232949
"All sectors, 25 9 1000",172,0.10756529849757701,0.14372888690185137,0.26630487180518964,0.4713964513288779,0.9081070466615327,1.4464951507626909,-0.06804624693802293,-1.553552379284223,0.005569091485286417,0.19040087961814803
