month_date,gross_ret,n_cohorts,n_positions,cost,net_ret,bench_ret,value_gross,value_net,value_bench,peak,drawdown,excess
2010-07-31,0.08153582,6,900,6.666666666666666e-4,0.08086915333333333,0.07653807484662577,97338.2238,97278.2238,96888.42673619631,97278.2238,0,0.004331078486707565
2010-08-31,-0.07693806,6,900,6.666666666666666e-4,-0.07760472666666667,-0.051826030456852794,89849.20969698217,89728.97383138219,91867.08418124967,97278.2238,-0.07760472666666662,-0.02577869620981387
2010-09-30,0.14688018888888887,6,900,6.666666666666666e-4,0.1462135222222222,0.12498167481937733,103046.2785887923,102848.56314065418,103348.78622299498,102848.56314065418,0,0.021231847402844867
2010-10-31,0.03477606444444445,6,900,6.666666666666666e-4,0.03410939777777778,0.04464380969267139,106629.8226137563,106356.66569169165,107962.66976710294,106356.66569169165,0,-0.010534411914893613
2010-11-30,0.029975783333333332,6,900,6.666666666666666e-4,0.029309116666666666,0.03522489924286546,109826.13507329804,109473.88561472709,111765.64393163989,109473.88561472709,0,-0.005915782576198795
2010-12-31,0.10864501622719999,6,900,6.666666666666666e-4,0.10797834956053333,0.08154635377368663,121758.19730050715,121294.69510338393,120879.7246714333,121294.69510338393,0,0.0264319957868467
2011-01-31,0.011472262222222222,6,900,6.666666666666666e-4,0.010805595555555556,0.01742636437718277,123155.03926764366,122605.35652170551,122986.21879937123,122605.35652170551,0,-0.006620768821627215
2011-02-28,0.04516865111111111,6,900,6.666666666666666e-4,0.04450198444444444,0.05421879093977335,128717.78626889903,128061.53819044001,129654.38288492756,128061.53819044001,0,-0.009716806495328911
2011-03-31,0.01727322333333333,6,900,6.666666666666666e-4,0.016606556666666664,0.02818312780430285,130941.15733809398,130188.19938122007,133308.44892816147,130188.19938122007,0,-0.011576571137636184
2011-04-30,0.023366371748223334,6,900,6.666666666666666e-4,0.022699705081556668,0.031268510501750287,134000.7770975985,133143.43311227267,137476.80556344372,133143.43311227267,0,-0.008568805420193618
2011-05-31,-0.012990181111111113,6,900,6.666666666666666e-4,-0.01365684777777778,-0.009177225354317461,132260.08273407104,131325.11351364764,136215.14993779632,133143.43311227267,-0.013656847777777759,-0.004479622423460318
2011-06-30,-0.027475755555555554,6,900,6.666666666666666e-4,-0.02814242222222222,-0.01676813498877126,128626.13703111214,127629.3067207653,133931.07591612363,133143.43311227267,-0.041414933223613226,-0.01137428723345096
2011-07-31,-0.032823623333333336,6,900,6.666666666666666e-4,-0.033490290000000006,-0.032800192714453585,124404.1611583812,123354.96422618792,129538.11081562068,133143.43311227267,-0.07351822509962369,-6.900972855464205e-4
2011-08-31,-0.07574368066437778,6,900,6.666666666666666e-4,-0.07641034733104445,-0.07478596444250744,114981.332102281,113929.36856465634,119850.47826621408,133143.43311227267,-0.14431101931564394,-0.0016243828885370015
2011-09-30,-0.09046625666666666,6,900,6.666666666666666e-4,-0.09113292333333332,-0.09846298444268331,104579.40140044081,103546.65215383844,108049.64248923969,133143.43311227267,-0.22229245758952954,0.007330061109349986
