ticker,gsector,mktcap,composite,s_asset_growth,s_rev_growth,s_fcfp,s_sp,s_bp,s_ep,s_ebitda_ev,s_gross_margin,s_roe,s_roa,s_fcf_growth,s_current_ratio,s_cash_ratio,s_int_coverage,s_accruals
JJSF,30,3385.08142522,0.4697390338700722,0.4652815746309459,0.34602463605823064,0.36179529282977557,0.5725982532751092,0.4959083469721768,0.4252183406113537,0.4008762322015334,0.3890746934225195,0.45320197044334976,0.6925601750547046,NA,0.3130718954248366,0.6653594771241831,0.8812877263581489,0.712800875273523
PLXS,45,4453.92452908,0.8523042754025542,0.8671405139420448,0.7967525195968646,0.7788724685276409,0.7691048034934498,0.502454991816694,0.4465065502183406,0.4715224534501643,0.07748049052396878,0.4493705528188287,0.5175054704595186,0.9606481481481481,0.5823529411764705,0.7405228758169935,0.6163648558014755,0.811816192560175
ORCL,45,512203.28492,0.617434758467518,0.4696555494805905,0.5151175811870101,0.39408866995073893,0.13537117903930132,0.08292416803055101,0.39465065502183405,0.2940854326396495,0.8957636566332219,0.9857690202517789,0.7472647702407003,0.683641975308642,0.9254901960784314,0.615686274509804,0.4949698189134809,0.6225382932166301
MSFT,45,3148374.63391119,0.5530260966129927,0.11262985237834877,0.30179171332586785,0.39956212370005473,0.10152838427947598,0.18385160938352427,0.4814410480349345,0.3187294633077766,0.8985507246376812,0.8932676518883416,0.962253829321663,0.6157407407407407,0.6823529411764706,0.45620915032679743,0.9268947015425889,0.6663019693654266
TROW,40,27512.170560000002,0.4852859522487507,0.44177145981410604,0.6903695408734603,0.4876847290640394,0.31768558951965065,0.5504637206764866,0.7903930131004366,0.6686746987951807,0.4096989966555184,0.7301587301587301,0.9157549234135668,0.15354938271604937,NA,NA,NA,0.03884026258205686
HON,20,151462.02720753,0.538034425319267,0.7512301804264625,0.5946248600223965,0.4433497536945813,0.32641921397379914,0.24168030551009276,0.5807860262008734,0.384446878422782,0.47491638795986624,0.8834154351395731,0.7943107221006565,0.4236111111111111,0.6856209150326797,0.5483660130718955,0.7116029510395707,0.10557986870897151
AMRC,20,970.25931,0.3764575235980011,0.08911973756150904,0.9518477043673013,0.005473453749315818,0.8782751091703057,0.9208947081287506,0.7876637554585153,0.41073384446878425,0.20066889632107024,0.38368910782703886,0.41083150984682715,NA,0.6967320261437908,0.7993464052287582,0.19718309859154928,0.0448577680525164
RGEN,35,8434.30401973,0.13381454747362576,0.24111536358665941,0.9384098544232923,0.2764094143404488,0.09879912663755458,0.42444080741953083,0.2685589519650655,0.19441401971522454,0.7140468227424749,0.28188286808976465,0.3648796498905908,0.375,0.0607843137254902,0.07320261437908493,0.5446009389671361,0.37363238512035013
BWXT,20,11965.448314439998,0.38200999444752914,0.4723892837616184,0.36898096304591266,0.34537493158182814,0.2762008733624454,0.1723949809056192,0.3962882096069869,0.2677984665936473,0.29988851727982163,0.8451012588943624,0.7964989059080962,0.9459876543209876,0.37516339869281046,0.7411764705882353,0.49765258215962443,0.4989059080962801
INDB,40,3076.06827,0.6563020544142143,0.6894477856752323,0.21108622620380735,0.8122605363984674,0.3935589519650655,0.92253136933988,0.8624454148471615,0.7546549835706462,0.8929765886287625,0.4247400109469075,0.3544857768052516,0.24768518518518517,NA,NA,NA,0.14989059080962797
CLDX,35,1820.47936,0.00832870627429206,0.07763805358119191,0.00895856662933936,0.08812260536398467,0.034388646288209604,0.42334969994544464,0.07914847161572053,0.03504928806133625,0.010033444816053512,0.0963327859879584,0.03938730853391685,NA,0.019607843137254943,0.016339869281045805,NA,0.7549234135667396
TMP,40,1098.40614,0.3914491948917268,0.6129032258064516,0.8107502799552071,0.7728516694033936,0.37117903930131,0.7659574468085106,0.2849344978165939,0.3192771084337349,0.8216276477146043,0.2742200328407225,0.2538293216630197,0.35802469135802467,NA,NA,NA,0.22921225382932164
BCPC,15,5868.344160000001,0.4580788450860633,0.764898851831602,0.7357222844344905,0.41050903119868637,0.20251091703056767,0.3638843426077469,0.3728165938864629,0.28258488499452356,0.4236343366778149,0.5210727969348659,0.712253829321663,0.7692901234567902,0.3875816993464052,0.5509803921568628,0.6170355466130114,0.5224288840262582
ASTE,20,880.38522,0.4714047751249306,0.490978676872608,0.5453527435610303,0.2019704433497537,0.8881004366812227,0.8548827059465357,0.5895196506550219,0.7174151150054765,0.27201783723522854,0.3426382047071702,0.4989059080962801,NA,0.326797385620915,0.7156862745098039,0.6311200536552649,0.10339168490153172
WERN,20,2526.71104,0.7468073292615214,0.6107162383816294,0.685330347144457,0.10509031198686371,0.8558951965065502,0.8483360611020185,0.6517467248908297,0.871303395399781,0.09531772575250837,0.39518336070060206,0.5284463894967177,NA,0.4366013071895425,0.7660130718954248,0.47417840375586856,0.8544857768052516
SKYW,20,4627.2347199999995,0.6474181010549694,0.8698742482230727,0.738521836506159,0.8308702791461412,0.6752183406113537,0.7637752318603382,0.28111353711790393,0.5498357064622125,0.25975473801560756,0.27586206896551724,0.2696936542669584,NA,0.8673202614379085,0.43333333333333335,0.1898054996646546,0.8030634573304157
AMWD,20,1366.60212,0.9333703498056635,0.46637506834335707,0.8656215005599104,0.8609742747673782,0.868995633187773,0.8101472995090017,0.8891921397379913,0.859802847754655,0.23857302118171683,0.5889436234263821,0.7412472647702407,0.38348765432098764,0.4019607843137255,0.5372549019607843,0.8611670020120724,0.7051422319474836
ADM,30,26127.956400000003,0.9616879511382566,0.9174412247129579,0.8264277715565509,0.8916256157635468,0.9716157205240175,0.9301691216584833,0.9585152838427947,0.9463307776560789,0.06298773690078038,0.6239737274220033,0.6745076586433261,0.6689814814814815,0.54640522875817,0.5287581699346405,0.579476861167002,0.27078774617067836
PRG,40,2021.48238,0.9877845641310383,0.7063969382176052,0.8230683090705487,0.8461959496442255,0.8411572052401747,0.5493726132024004,0.8155021834061136,0.9978094194961665,0.8924191750278707,0.7952928297755884,0.8019693654266958,0.33796296296296297,NA,NA,0.5942320590207915,0.49617067833698025
WTS,20,5908.3299262,0.6029983342587452,0.14871514488791693,0.5778275475923852,0.6135741652983032,0.4557860262008734,0.45499181669394434,0.6506550218340611,0.5295728368017525,0.5958751393534002,0.7142857142857143,0.8763676148796499,0.6998456790123457,0.2823529411764706,0.3640522875816994,0.9382964453386988,0.3205689277899344
FNB,40,6166.899899999999,0.4103275957801222,0.4384909786768726,0.09406494960806266,0.655719759168035,0.46997816593886466,0.9247135842880524,0.8684497816593887,0.6944140197152245,0.7937569676700111,0.4340448823207444,0.33533916849015316,0.11728395061728394,NA,NA,NA,0.11761487964989059
EHC,35,10371.205,0.6646307606885064,0.3378895571350464,0.4020156774916014,0.4154351395730706,0.5747816593886463,0.33060556464811786,0.5556768558951966,0.5870755750273823,0.2491638795986622,0.8029556650246306,0.6838074398249453,0.8171296296296297,0.6790849673202615,0.7281045751633988,0.5050301810865191,0.7532822757111597
FI,40,125708.34792919001,0.5174902831760133,0.33570256971022416,0.47480403135498317,0.4559386973180077,0.19814410480349345,0.4593562465902891,0.43722707423580787,0.41566265060240964,0.879041248606466,0.49261083743842365,0.5207877461706784,0.5933641975308642,0.807843137254902,0.9477124183006536,0.5137491616364855,0.3293216630196937
FCNCA,40,29798.28,0.5713492504164354,0.01749589939857843,0.012877939529675198,0.5626710454296662,0.5393013100436681,0.7965084560829242,0.9950873362445415,0.848302300109529,0.7162764771460424,0.9644225506294472,0.7264770240700219,0.25385802469135804,NA,NA,NA,0.035557986870897174
