grp,avg_spread,t_stat,hit_rate,n_periods,feature
Cons Disc,0.02747774893281955,1.8512500632203097,0.49441340782122906,358,ep
Cons Staples,0.07857597917288449,7.388217083590068,0.6340782122905028,358,ep
Energy,0.03691202208632572,2.1442177800019104,0.5558659217877095,358,ep
Financials,0.060213566278352997,4.52178504702175,0.5921787709497207,358,ep
Health Care,0.04501509981840834,2.712349512082424,0.6564245810055865,358,ep
Industrials,0.04333108750722868,3.9883206317659443,0.6061452513966481,358,ep
Materials,0.03138849205260162,2.1535448984440113,0.5698324022346368,358,ep
Tech,0.009749369586269045,0.6238339169616431,0.55027932960893855,358,ep
Telecom,-0.02521216602396128,-0.9018762426494986,0.5391061452513967,358,ep
Utilities,0.012801542678679159,1.1258424848897202,0.4441340782122905,358,ep
Cons Disc,0.029224413274018805,1.7252096747482912,0.4664804469273743,358,bp
Cons Staples,0.03955671807488137,3.512216385444269,0.5558659217877095,358,bp
Energy,0.14309261597884448,7.028399728696626,0.6508379888268156,358,bp
Financials,0.04434296576383253,2.8939148517366546,0.5558659217877095,358,bp
Health Care,0.02878169751301873,1.7028446364788434,0.5418994413407822,358,bp
Industrials,0.052687794632193995,4.650082550889336,0.5726256983240223,358,bp
Materials,0.06761539028650182,3.830387136022982,0.5363128491620112,358,bp
Tech,0.03879716503394286,2.1638373388093863,0.553072625698324,358,bp
Telecom,-0.04477101927249171,-2.1518030799610237,0.43575418994413406,358,bp
Utilities,0.04857924007468215,3.649042762370175,0.5670391061452514,358,bp
Cons Disc,0.07869500933067243,3.806662832782902,0.5363128491620112,358,sp
Cons Staples,0.019134304402508802,1.2864472696258868,0.4553072625698324,358,sp
Energy,0.19547390196762687,12.121673894546063,0.7541899441340782,358,sp
Financials,0.09538904672865538,7.115103741242496,0.6396648044692738,358,sp
Health Care,0.13364818358276587,5.8126047843874025,0.6899441340782123,358,sp
Industrials,0.13200286578311232,8.540947680372112,0.6536312849162011,358,sp
Materials,0.16984811141117867,7.840626502393627,0.6284916201117319,358,sp
Tech,0.04197422613430489,1.813425728058123,0.611731843575419,358,sp
Telecom,0.07214944510728072,2.7791014854678893,0.6340782122905028,358,sp
Utilities,0.06247546800481913,4.71969942190681,0.6424581005586593,358,sp
Cons Disc,0.022342265405577193,2.119742742656421,0.5698324022346368,358,fcfp
Cons Staples,0.05919488466329478,5.788087926324218,0.6424581005586593,358,fcfp
Energy,0.05810238928994073,3.1064838438094764,0.6675977653631285,358,fcfp
Financials,0.0566863726481877,5.506913861018457,0.6480446927374302,358,fcfp
Health Care,0.056999633749654825,3.5094864782256394,0.6480446927374302,358,fcfp
Industrials,0.056977925592315945,5.020619393170248,0.6731843575418994,358,fcfp
Materials,0.035600896386413367,2.4342596592504626,0.6312849162011173,358,fcfp
Tech,0.0429142981879225,3.1990153914947292,0.6396648044692738,358,fcfp
Telecom,-0.025647575092747225,-0.7614059383120657,0.5854341736694678,357,fcfp
Utilities,-0.01741801429268232,-2.129320727980003,0.42178770949720673,358,fcfp
Cons Disc,0.007565959523397497,0.765441256768609,0.5307262569832403,358,divy
Cons Staples,-0.02924860906382065,-2.467634293785948,0.5027932960893855,358,divy
Energy,-0.02002855593604753,-1.35161291434906,0.5223463687150838,358,divy
Financials,0.01617680084956977,1.6482791561539167,0.5027932960893855,358,divy
Health Care,0.013820314291948636,1.2109219799054094,0.5949720670391061,358,divy
Industrials,0.015780659767750015,2.2446319831291275,0.6005586592178771,358,divy
Materials,0.0774014501319584,6.347725725334545,0.6703910614525139,358,divy
Tech,-0.027157022988249416,-3.469370909262526,0.4860335195530726,358,divy
Telecom,0.009810817851586448,0.6742624495603967,0.5027932960893855,358,divy
Utilities,0.0473281877815551,3.711519849499734,0.6201117318435754,358,divy
Cons Disc,0.015633262222251136,0.836512696352433,0.5363128491620112,358,ebitda_ev
Cons Staples,0.09353863242357151,7.425072566209387,0.6284916201117319,358,ebitda_ev
Energy,0.11259614118049897,8.698638895951943,0.6759776536312849,358,ebitda_ev
Financials,0.07068280720027674,7.516732429596563,0.6899441340782123,358,ebitda_ev
Health Care,0.0322193935577573,1.464577351902329,0.611731843575419,358,ebitda_ev
Industrials,0.07924987019168281,5.992219890988723,0.6284916201117319,358,ebitda_ev
Materials,0.13442853842933106,8.8105078771436,0.7039106145251397,358,ebitda_ev
Tech,0.050408352445290364,2.5694790288990004,0.6284916201117319,358,ebitda_ev
Telecom,-0.014547641962479332,-0.5260733449760615,0.5865921787709497,358,ebitda_ev
Utilities,0.043182494222379644,3.785496483083922,0.5139664804469274,358,ebitda_ev
Cons Disc,0.03349678387058876,2.9875687675649987,0.6050420168067226,357,roe
Cons Staples,0.0012939524859945188,0.13085433026520826,0.5356125356125356,351,roe
Energy,0.07080089711828709,5.2173506440956485,0.6167146974063401,347,roe
Financials,0.02832493475590479,3.7118678170920436,0.57636887608069165,347,roe
Health Care,0.07566426143443825,5.4976079126172,0.6685714285714286,350,roe
Industrials,0.01662900371428723,1.5663439978583238,0.5738636363636364,352,roe
Materials,0.006726009849126735,0.4977769870714536,0.5619596541786743,347,roe
Tech,-0.017944050837173632,-1.0957172069135233,0.5949008498583569,353,roe
Telecom,0.030492829517692766,1.6524287359988143,0.5635838150289018,346,roe
Utilities,-0.017202621632689395,-1.834098792612851,0.41210374639769454,347,roe
Cons Disc,-2.734112374442789e-4,-0.01687409398321486,0.5630252100840336,357,roa
Cons Staples,0.044387787378144264,3.9526936135528294,0.6125356125356125,351,roa
Energy,0.05453275680232384,3.861359424558754,0.654178674351585,347,roa
Financials,0.03003282462566508,3.332949690448277,0.590778097982709,347,roa
Health Care,0.053015615649350985,3.2255008290071245,0.62,350,roa
Industrials,0.02447129674136088,1.812739109609624,0.6193181818181818,352,roa
Materials,-0.012375872381071351,-0.7282713659869601,0.5619596541786743,347,roa
Tech,0.014166537988538262,0.7147016978167656,0.6147308781869688,353,roa
Telecom,0.040175484701570466,1.6189312987317086,0.6560693641618497,346,roa
Utilities,-0.04101265616685971,-4.860552392314792,0.3659942363112392,347,roa
Cons Disc,0.00485902960895285,0.3205420319106334,0.5446927374301676,358,roic
Cons Staples,0.06437528054168438,5.819905466583712,0.6759776536312849,358,roic
Energy,0.0584976091387334,3.8313922422828988,0.6564245810055865,358,roic
Financials,0.06381975655186596,6.991513276543861,0.6620111731843575,358,roic
Health Care,0.009970610693769684,0.5697640408657016,0.5837988826815642,358,roic
Industrials,0.04846692301095428,3.631382153225354,0.6536312849162011,358,roic
Materials,0.009170631404152321,0.5354727277463373,0.547486033519553,358,roic
Tech,0.018092723542760706,1.258078044321599,0.6424581005586593,358,roic
Telecom,0.03857608954549511,1.6818241404945888,0.6452513966480447,358,roic
Utilities,0.0011300913658228507,0.1339010907979885,0.5391061452513967,358,roic
Cons Disc,-0.0248225536085734,-2.4998421827281456,0.4720670391061452,358,gross_margin
Cons Staples,-0.0021327928827020283,-0.2152400759682101,0.4972067039106145,358,gross_margin
Energy,-0.03278718390693812,-1.8428322123360976,0.4664804469273743,358,gross_margin
Financials,-0.0035998259688094325,-0.5061140999175089,0.5111731843575419,358,gross_margin
Health Care,0.038084964721170525,1.7236113581619878,0.6620111731843575,358,gross_margin
Industrials,0.008270766525675235,1.0822668998517002,0.5586592178770949,358,gross_margin
Materials,-0.002285302534909823,-0.16093815143436188,0.5558659217877095,358,gross_margin
Tech,0.07170504492123506,5.4906937762890555,0.6284916201117319,358,gross_margin
Telecom,-0.045117701902070484,-2.046486125425634,0.4888268156424581,358,gross_margin
Utilities,0.004686320483928401,0.38328598993466273,0.5279329608938548,358,gross_margin
Cons Disc,-0.024848346320307517,-1.5797056953737652,0.5279329608938548,358,op_margin
Cons Staples,0.0358575647007946,2.7223411707960885,0.6452513966480447,358,op_margin
Energy,0.03070924161417242,2.0695577122242597,0.5977653631284916,358,op_margin
Financials,0.009436460628159813,1.0109991559486948,0.4776536312849162,358,op_margin
Health Care,0.02389337958016336,1.1860576213092249,0.6005586592178771,358,op_margin
Industrials,0.0200824277410602,1.4666430798208863,0.5726256983240223,358,op_margin
Materials,0.009706543630440736,0.6365475578515036,0.5865921787709497,358,op_margin
Tech,0.05024216586165655,2.6316575758202774,0.6005586592178771,358,op_margin
Telecom,-0.045145476955765713,-1.6585632965667414,0.5837988826815642,358,op_margin
Utilities,-0.004871708980247488,-0.45446010750580323,0.5251396648044693,358,op_margin
Cons Disc,-0.02517804606037905,-1.5850629829954224,0.5446927374301676,358,net_margin
Cons Staples,0.032424564194512756,2.7434046953716,0.6229050279329609,358,net_margin
Energy,0.022585731918393272,1.7030088184509158,0.5670391061452514,358,net_margin
Financials,0.010820308653445543,1.3126723510647986,0.4692737430167598,358,net_margin
Health Care,0.059062325162818466,3.2203670728227287,0.6284916201117319,358,net_margin
Industrials,0.035603188670883065,2.8399553843169514,0.6564245810055865,358,net_margin
Materials,-0.0031056218589444115,-0.20525467846307277,0.6005586592178771,358,net_margin
Tech,0.05523190826795591,2.9837957039304293,0.6145251396648045,358,net_margin
Telecom,0.012665235668522894,0.5119126267517387,0.6480446927374302,358,net_margin
Utilities,-0.04537861433197401,-4.473212338973935,0.39385474860335196,358,net_margin
Cons Disc,0.02128751646383947,1.572994860896207,0.5462184873949579,357,rev_growth
Cons Staples,0.02406104123762542,1.9454289755427439,0.5071225071225072,351,rev_growth
Energy,-0.013555305672179248,-1.1664075151264486,0.4438040345821326,347,rev_growth
Financials,-0.03726896138193285,-5.458426107575761,0.3688760806916426,347,rev_growth
Health Care,-0.009921628130190619,-0.8683804179814643,0.4685714285714286,350,rev_growth
Industrials,-0.07089223754208643,-8.160139742500014,0.3096590909090909,352,rev_growth
Materials,-0.07928080714932743,-5.831044177857266,0.38328530259365995,347,rev_growth
Tech,-0.013345107633811307,-0.8737516311080281,0.42776203966005666,353,rev_growth
Telecom,0.04403414962184857,1.8487551940454776,0.5057803468208093,346,rev_growth
Utilities,-0.04376546345958269,-5.108314312494333,0.3515850144092219,347,rev_growth
Cons Disc,0.012079946794493458,1.2203453956760826,0.5266106442577031,357,eps_growth
Cons Staples,0.050746550922511784,5.500777529301787,0.6314285714285715,350,eps_growth
Energy,0.03311171607453727,2.579246372343695,0.5851063829787234,282,eps_growth
Financials,0.018426611779104506,2.9965942736024,0.6109510086455331,347,eps_growth
Health Care,0.026299972961127155,2.594688529995631,0.5816618911174785,349,eps_growth
Industrials,0.0013506569714993968,0.15915774752247835,0.5511363636363636,352,eps_growth
Materials,-0.06935663942209366,-4.357509732436143,0.3861671469740634,347,eps_growth
Tech,3.9141053991274523e-4,0.03330803622548387,0.5113636363636364,352,eps_growth
Telecom,-0.0384321377064654,-1.3012904511802388,0.48148148148148145,108,eps_growth
Utilities,-0.03074494512363834,-4.042954649676288,0.3861671469740634,347,eps_growth
Cons Disc,-0.024292758788561526,-2.0053410066788664,0.45938375350140054,357,asset_growth
Cons Staples,-0.016363132668055985,-1.387694117322715,0.41025641025641024,351,asset_growth
Energy,-0.03935015652219679,-2.739774409211168,0.4553314121037464,347,asset_growth
Financials,-0.04862673900904162,-5.335309857370753,0.39481268011527376,347,asset_growth
Health Care,-0.13196956849199973,-11.057815749248606,0.2571428571428571,350,asset_growth
Industrials,-0.10744137933197671,-13.406756105323822,0.1903409090909091,352,asset_growth
Materials,-0.0750920486318539,-7.015626889861203,0.3170028818443804,347,asset_growth
Tech,-0.039742921218146154,-2.854673446484737,0.44192634560906513,353,asset_growth
Telecom,-0.04686785428497778,-2.440594974112716,0.3554913294797688,346,asset_growth
Utilities,-0.028906008672375336,-3.673794273205842,0.3659942363112392,347,asset_growth
Cons Disc,0.009965068267462568,1.0885014969246554,0.5790960451977402,354,fcf_growth
Cons Staples,0.011164476395203128,1.0876662689536387,0.5415472779369628,349,fcf_growth
Energy,0.01932677001457936,0.8947346740753206,0.562962962962963,135,fcf_growth
Financials,0.04452773982351707,6.001735187614947,0.6051873198847262,347,fcf_growth
Health Care,0.06943319136654272,7.333171455383767,0.6484149855907781,347,fcf_growth
Industrials,0.004876259434733177,0.5958653934365894,0.5584045584045584,351,fcf_growth
Materials,-0.035989160685062055,-2.736560768644848,0.4812680115273775,347,fcf_growth
Tech,-0.005489164568576633,-0.478441526511088,0.5085227272727273,352,fcf_growth
Telecom,0.09217245449728993,4.319254705809428,0.6578947368421053,152,fcf_growth
Utilities,-0.014278244265284753,-0.9613914118913213,0.375,112,fcf_growth
Cons Disc,0.015267812518886486,1.6169333983490215,0.55027932960893855,358,leverage
Cons Staples,-0.046144372674563464,-4.090189016255269,0.4581005586592179,358,leverage
Energy,-0.009096890237009948,-0.7700008921091527,0.4106145251396648,358,leverage
Financials,1.6911436722395274e-4,0.017767127563306406,0.48324022346368717,358,leverage
Health Care,0.04305548357405931,2.9958277087194434,0.6033519553072626,358,leverage
Industrials,0.04638189205466399,4.1093668457786166,0.6284916201117319,358,leverage
Materials,0.055139293975860565,4.218022302793198,0.5977653631284916,358,leverage
Tech,-0.028568491526940725,-2.3747534579832346,0.42178770949720673,358,leverage
Telecom,0.02476198477825329,1.1988055406730447,0.5,358,leverage
Utilities,0.03855316764113118,3.983897012221192,0.5949720670391061,358,leverage
Cons Disc,-0.03356304828101411,-3.816316665457664,0.4106145251396648,358,current_ratio
Cons Staples,-0.0059151777669698424,-0.6454877239233571,0.4692737430167598,358,current_ratio
Energy,-0.07350779274713581,-4.415986731582731,0.3770949720670391,358,current_ratio
Financials,-0.06129261189983196,-1.0804195962849572,0.34375,32,current_ratio
Health Care,-0.0515958285316614,-2.524174622849397,0.3240223463687151,358,current_ratio
Industrials,-0.059124421644890256,-7.956307213421485,0.3435754189944134,358,current_ratio
Materials,-0.03332186178124984,-3.00808378320419,0.37988826815642457,358,current_ratio
Tech,-0.009189247166659817,-0.7999806196718086,0.41899441340782123,358,current_ratio
Telecom,-0.015649329827103334,-0.91752746987868,0.4117647058823529,357,current_ratio
Utilities,-0.045786908567719206,-5.232862415572092,0.36033519553072624,358,current_ratio
Cons Disc,-0.005409971833239523,-0.4946583857953301,0.5223463687150838,358,cash_ratio
Cons Staples,0.0022569601786494643,0.21418039213565335,0.5111731843575419,358,cash_ratio
Energy,-0.11513955643030407,-6.787684457867878,0.3268156424581006,358,cash_ratio
Financials,-0.2816954720540704,-6.0962078236939234,0.15625,32,cash_ratio
Health Care,-0.046136170653074626,-2.239493321529848,0.35195530726256985,358,cash_ratio
Industrials,-0.07434584644478749,-6.836427265882186,0.3770949720670391,358,cash_ratio
Materials,-0.04859877139766122,-4.157457270412945,0.39106145251396646,358,cash_ratio
Tech,-9.254783218339139e-4,-0.07647477012206538,0.441340782122905,358,cash_ratio
Telecom,0.00854290375847795,0.433452401982711,0.484593837535014,357,cash_ratio
Utilities,-0.027353253948677183,-3.0072470637640243,0.441340782122905,358,cash_ratio
Cons Disc,-0.011010418864471194,-0.6757985151790162,0.5335195530726257,358,int_coverage
Cons Staples,0.03280997777891026,2.326922974888587,0.6061452513966481,358,int_coverage
Energy,0.03371804740252139,2.36763184827246,0.6424581005586593,358,int_coverage
Financials,0.06255315517898867,4.83927885224959,0.5754189944134078,358,int_coverage
Health Care,0.033742886894689246,1.6091703760355127,0.664804469273743,358,int_coverage
Industrials,0.02197112385186447,1.4476819245771158,0.5949720670391061,358,int_coverage
Materials,0.013901788538405544,0.8171029425523542,0.5893854748603352,358,int_coverage
Tech,0.07131940496214853,4.17208054475991,0.6424581005586593,358,int_coverage
Telecom,0.07180829928542713,3.293612264413154,0.653179190751445,346,int_coverage
Utilities,-0.03982833026040781,-3.6060188017818873,0.39385474860335196,358,int_coverage
Cons Disc,0.027793854525108595,2.1591153077611986,0.6396648044692738,358,log_mktcap
Cons Staples,-0.0109415335415724,-0.8764901416195392,0.5167597765363129,358,log_mktcap
Energy,-0.03757504067203066,-2.3752395050475457,0.4692737430167598,358,log_mktcap
Financials,0.003117962522754986,0.37270557122552095,0.5111731843575419,358,log_mktcap
Health Care,0.008985155095029911,0.5606767575739252,0.5698324022346368,358,log_mktcap
Industrials,0.002854042624511727,0.3539886977852762,0.5726256983240223,358,log_mktcap
Materials,-0.036574217281783325,-2.5708530983937052,0.44692737430167595,358,log_mktcap
Tech,0.014940146443715585,1.1309531949458063,0.547486033519553,358,log_mktcap
Telecom,-0.013744036369498197,-0.6649784922864169,0.5865921787709497,358,log_mktcap
Utilities,-0.033631296835628,-3.9266279278430263,0.39106145251396646,358,log_mktcap
Cons Disc,-0.011545861034296008,-0.6402245518080404,0.4022346368715084,358,vol_12m
Cons Staples,-0.017976133037085774,-1.0872274063641378,0.4022346368715084,358,vol_12m
Energy,0.025494989102505892,1.0379447188205866,0.39106145251396646,358,vol_12m
Financials,-0.007940274196745862,-0.48389285420026185,0.45251396648044695,358,vol_12m
Health Care,-0.03341794807663124,-1.7071132415397605,0.3715083798882682,358,vol_12m
Industrials,-0.032387735913535894,-1.9429493394236965,0.3687150837988827,358,vol_12m
Materials,0.0020558541882850613,0.09795214187709432,0.42178770949720673,358,vol_12m
Tech,-0.021755385285909232,-1.0779150985883208,0.38268156424581007,358,vol_12m
Telecom,-0.012788031534548912,-0.5773701730665134,0.45014245014245013,351,vol_12m
Utilities,-0.0075671147420344346,-0.5817452839028626,0.4748603351955307,358,vol_12m
Cons Disc,0.04352803859381459,2.596056705406539,0.46368715083798884,358,turnover
Cons Staples,0.012999420146288606,1.007172844559294,0.4553072625698324,358,turnover
Energy,0.031004849713841355,1.5072110947465973,0.4245810055865922,358,turnover
Financials,0.0010283456558424372,0.07062266823192472,0.5251396648044693,358,turnover
Health Care,-0.05960377473756799,-4.74433479391248,0.34916201117318435,358,turnover
Industrials,-0.024467735307585125,-1.8478331138825939,0.4022346368715084,358,turnover
Materials,0.006385091396738369,0.33998782395726446,0.3854748603351955,358,turnover
Tech,0.022280796604006153,1.173244431668928,0.43575418994413406,358,turnover
Telecom,0.06723699803285374,3.2698254352864797,0.5111731843575419,358,turnover
Utilities,-0.026886153587495177,-2.21965929348717,0.4748603351955307,358,turnover
Cons Disc,0.02784068583915315,1.3457587946433966,0.6201117318435754,358,mom_12_1
Cons Staples,0.019125825981799047,1.3080500502680652,0.55027932960893855,358,mom_12_1
Energy,-0.021388665593276627,-1.1030024999920762,0.505586592178771,358,mom_12_1
Financials,-0.006286180952969924,-0.46950803578282596,0.5391061452513967,358,mom_12_1
Health Care,-0.02576745749716931,-1.3559178358036394,0.5223463687150838,358,mom_12_1
Industrials,0.0063797365280044305,0.4328605206306347,0.5810055865921788,358,mom_12_1
