grp,avg_spread,t_stat,hit_rate,n_periods,feature
1 Smallest,7.162364911283384e-4,0.04582296287496026,0.5111731843575419,358,ep
2,0.02906809175590064,2.0760640030071134,0.5977653631284916,358,ep
3,0.04221937092095195,2.6608763048501713,0.6480446927374302,358,ep
4,0.013516519785374504,0.9447784083190148,0.5670391061452514,358,ep
5 Largest,0.014121026409475828,1.1502939130802128,0.5391061452513967,358,ep
1 Smallest,0.09142759275832643,5.138526919826268,0.5642458100558659,358,bp
2,0.0595117388570329,3.4672279157368737,0.5418994413407822,358,bp
3,0.04390041349677549,2.8272840231273135,0.5698324022346368,358,bp
4,0.020720988381938026,1.215389440668498,0.5335195530726257,358,bp
5 Largest,-0.005284058268088978,-0.3899567999526243,0.4134078212290503,358,bp
1 Smallest,0.16540527922743486,7.108180794401736,0.6759776536312849,358,sp
2,0.10312647196886028,4.7439952712061535,0.5977653631284916,358,sp
3,0.09266067128794496,4.056230044069024,0.6284916201117319,358,sp
4,0.028060440843268513,1.129458447240417,0.5837988826815642,358,sp
5 Largest,0.03766181728045094,2.235840781639736,0.6005586592178771,358,sp
1 Smallest,0.029978103648987526,2.4404336593313887,0.6061452513966481,358,fcfp
2,0.06011291902475367,5.51087993534378,0.6815642458100558,358,fcfp
3,0.08499176044906784,9.08615196346375,0.723463687150838,358,fcfp
4,0.04188838968090726,4.251890148053869,0.6508379888268156,358,fcfp
5 Largest,0.04078822995333408,4.209699002963346,0.6396648044692738,358,fcfp
1 Smallest,0.007570799167226282,0.6928421071735572,0.5195530726256983,358,divy
2,0.014061897912752539,1.3354961062711335,0.5307262569832403,358,divy
3,0.01474509494634828,1.400593590554704,0.5810055865921788,358,divy
4,-0.0035079341932875,-0.308960835247069,0.4776536312849162,358,divy
5 Largest,-0.025204115926518264,-2.031622077785417,0.42178770949720673,358,divy
1 Smallest,0.050290937302880555,2.576761392050988,0.5865921787709497,358,ebitda_ev
2,0.053515054306590475,3.0145771541474304,0.5810055865921788,358,ebitda_ev
3,0.058254898228702015,3.0605553590422954,0.6145251396648045,358,ebitda_ev
4,0.049751142273293365,2.4664394196236747,0.6759776536312849,358,ebitda_ev
5 Largest,0.0293783915956357,1.8029479410206644,0.6005586592178771,358,ebitda_ev
1 Smallest,0.009889972145101952,0.7270341915585555,0.5555555555555556,351,roe
2,0.040128969477925505,3.691339472720567,0.6096866096866097,351,roe
3,0.03680983366766112,3.0002238438355358,0.64,350,roe
4,0.014888435619788563,1.4120475966730521,0.5828571428571429,350,roe
5 Largest,0.01582883173735055,1.8248339195523469,0.5936599423631124,347,roe
1 Smallest,0.02685707629618513,1.4803889221830182,0.5555555555555556,351,roa
2,0.05297254476854827,3.8260518739421596,0.6182336182336182,351,roa
3,0.03297800107008865,2.23994428185806,0.5742857142857143,350,roa
4,0.033165103938042,2.4122445457396,0.6142857142857143,350,roa
5 Largest,0.024871866841066303,2.857250826816263,0.5677233429394812,347,roa
1 Smallest,5.94176612890387e-4,0.03565795730586988,0.5642458100558659,358,roic
2,0.018225645216946394,1.5109356447878832,0.5698324022346368,358,roic
3,0.024710348675199462,1.6673211828667103,0.5865921787709497,358,roic
4,0.03353836348562338,2.5599863899621322,0.6508379888268156,358,roic
5 Largest,0.03434662072807944,3.146198333546123,0.5949720670391061,358,roic
1 Smallest,0.041483635280103806,3.4329833610800713,0.6005586592178771,358,gross_margin
2,0.030350487527118056,3.179750975351885,0.547486033519553,358,gross_margin
3,0.013565051612512024,1.6178939609191691,0.49162011173184356,358,gross_margin
4,0.04857705553569208,5.149343891220643,0.547486033519553,358,gross_margin
5 Largest,0.0189268903212198,2.5979818931798193,0.5335195530726257,358,gross_margin
1 Smallest,0.054296826747190344,2.529401125475702,0.6061452513966481,358,op_margin
2,0.0378603005490889,1.951256634799185,0.5335195530726257,358,op_margin
3,0.02907802146276867,1.4803957686633502,0.5195530726256983,358,op_margin
