grp,avg_spread,t_stat,hit_rate,n_periods,feature
1 Low vol,0.015616833125778485,2.3841910426748045,0.5446927374301676,358,ep
2 Mid,0.028381445194734966,3.7673873025038493,0.6061452513966481,358,ep
3 High vol,-0.004619111273783675,-0.3225257101409582,0.5810055865921788,358,ep
1 Low vol,-0.009277765279250567,-1.4894270680537103,0.4776536312849162,358,bp
2 Mid,0.0052879247437245805,0.4883441568665592,0.4860335195530726,358,bp
3 High vol,0.041484705575514466,2.35974186918462,0.4972067039106145,358,bp
1 Low vol,0.02408615137442612,3.5869814640659365,0.5167597765363129,358,sp
2 Mid,0.037469189000890864,2.6923541385406318,0.5865921787709497,358,sp
3 High vol,0.11807772946900898,4.981548287215748,0.611731843575419,358,sp
1 Low vol,0.025358459860479035,4.893439672791845,0.5391061452513967,358,fcfp
2 Mid,0.05067205419973825,7.807136087772474,0.6843575418994413,358,fcfp
3 High vol,0.05906690437483414,5.877524524736422,0.6899441340782123,358,fcfp
1 Low vol,-0.006470752113759693,-1.1588749944627,0.4692737430167598,358,divy
2 Mid,-0.0031327045138228047,-0.38233267809967814,0.4581005586592179,358,divy
3 High vol,0.013066157935137393,1.0437274690601672,0.5810055865921788,358,divy
1 Low vol,0.01207999137845387,1.8433713169236925,0.5670391061452514,358,ebitda_ev
2 Mid,0.027815309169479035,2.414855073581298,0.5726256983240223,358,ebitda_ev
3 High vol,0.06870471670755912,4.0246540743378745,0.6340782122905028,358,ebitda_ev
1 Low vol,0.01631727783637705,4.788018391230065,0.5857142857142857,350,roe
2 Mid,0.03233474141185494,5.697395807660757,0.6487252124645893,353,roe
3 High vol,0.04018489000001184,3.3165609053141463,0.635593220338983,354,roe
1 Low vol,0.014049595568228384,2.772909618536437,0.5342857142857143,350,roa
2 Mid,0.03685179961286935,5.745731943551282,0.6317280453257791,353,roa
3 High vol,0.04135187935327727,2.923583827793865,0.6384180790960452,354,roa
1 Low vol,0.032975319718816835,7.509021672886398,0.6508379888268156,358,roic
2 Mid,0.042710775410414924,6.611765322414944,0.6340782122905028,358,roic
3 High vol,0.032868022946950876,2.4013817896418326,0.5921787709497207,358,roic
1 Low vol,-0.007833558400228795,-1.5427732418521758,0.5279329608938548,358,gross_margin
2 Mid,0.008105517548063839,1.3591383657250793,0.4972067039106145,358,gross_margin
3 High vol,0.049914252471088424,4.960273614992535,0.61731843575419,358,gross_margin
1 Low vol,-0.007666276028112961,-1.285896348719763,0.46089385474860334,358,op_margin
2 Mid,0.0282203491982783,3.385768081387058,0.5670391061452514,358,op_margin
3 High vol,0.03488318559375682,2.474817715080574,0.5977653631284916,358,op_margin
1 Low vol,-0.004293658060054356,-0.9201805771643795,0.49162011173184356,358,net_margin
2 Mid,0.021456212560458425,3.0547519913270076,0.55027932960893855,358,net_margin
3 High vol,0.04811991149148884,3.935924001409665,0.6675977653631285,358,net_margin
1 Low vol,0.006202807042781073,1.3175599783669674,0.5371428571428571,350,rev_growth
