feature,avg_spread,t_stat,hit_rate,n_periods
asset_growth,-0.08541851583221025,-8.554578162105594,0.36033519553072624,358
fcfp,0.05589258072335942,6.807395376999661,0.6899441340782123,358
fcf_growth,0.017086777341933528,5.029227043316099,0.5921787709497207,358
gross_margin,0.027509085592445966,4.7034770160736334,0.5418994413407822,358
sp,0.09134412247266525,4.377997144507656,0.6229050279329609,358
rev_growth,-0.035977845774209684,-3.7515281404674456,0.4692737430167598,358
roe,0.02970399223647024,3.38680746714437,0.6620111731843575,358
ebitda_ev,0.055133634571544084,3.3059377251016215,0.6312849162011173,358
bp,0.04886159077202052,3.2775987325034954,0.5251396648044693,358
mom_1m,0.0364499527737234,2.97663377298088,0.5977653631284916,358
roic,0.032100167157084955,2.721606279424123,0.6508379888268156,358
roa,0.03338716000724588,2.713868540101076,0.6396648044692738,358
int_coverage,0.03184319682634283,2.660253770264913,0.6201117318435754,358
mom_6_1,0.04076059062119732,2.5545830009206463,0.659217877094972,358
current_ratio,-0.029943338804123726,-2.409319889704394,0.40782122905027934,358
cash_ratio,-0.03600495741459852,-2.3075546729515164,0.3994413407821229,358
ep,0.027822824040865404,2.109444892364096,0.6201117318435754,358
net_margin,0.025540953935798225,1.7989357059156739,0.6256983240223464,358
op_margin,0.02855752992006866,1.6871661820314034,0.5418994413407822,358
divy,0.00873364298252746,0.9284414345451568,0.505586592178771,358
eps_growth,-0.0036836880473789047,-0.6524099670716396,0.5642458100558659,358
vol_12m,-0.01189870454997169,-0.6033694185078273,0.40502793296089384,358
log_mktcap,-0.0029882116761800943,-0.3332611838270096,0.553072625698324,358
mom_12_1,0.0045344711637616214,0.2827168296622583,0.61731843575419,358
leverage,-0.0020673014672555447,-0.23654237737207537,0.5279329608938548,358
turnover,0.0030251816719320734,0.17218768932408637,0.4245810055865922,358
