term,coef,t,n,model
rk_accruals,-0.0011410927272661577,-0.7204355784255102,365,Base + new
rk_asset_growth,1.6238348171478893e-4,0.14634697894235385,365,Base + new
rk_bp,0.001701002954217261,0.91197665779189,365,Base + new
rk_capx_at,0.0023516546338870786,0.8219739099014814,365,Base + new
rk_capx_ocf,-0.005673348620973777,-1.7891200793322113,365,Base + new
rk_capx_sales,0.0017737149288211097,0.7187958885271798,365,Base + new
rk_cash_conv,-9.681996060362916e-4,-0.9220802650200465,365,Base + new
rk_fcfp,0.0014734306238409524,0.7318528021228021,365,Base + new
rk_gross_margin,0.0075549132659050765,2.73015840947678,365,Base + new
rk_log_mktcap,-0.002055475054668701,-1.1682599286865643,365,Base + new
rk_mom_12_1,0.0038664368905154223,1.3226315201409327,365,Base + new
rk_opex_sales,0.003979726286583435,1.0854296409668274,365,Base + new
rk_rev_growth,-3.1501124297131583e-4,-0.2006410954224557,365,Base + new
rk_roe,0.001980093533948766,2.3079845026739387,365,Base + new
rk_sp,0.004995173195616179,0.9905269427358272,365,Base + new
