term,true_beta,estimated,error,t_nw,flagged
rk_mom_12_1,0.045,0.05970412818363274,0.014704128183632745,15.484652902346843,TRUE
rk_roe,0.03,0.03931767132044398,0.009317671320443983,8.980128933774651,TRUE
rk_ep,0.022,0.026976058495151667,0.004976058495151668,6.057563624598096,TRUE
rk_asset_growth,-0.02,-0.020102496452283396,-1.024964522833953e-4,-7.25480386545971,TRUE
rk_fcfp,0.018,0.01273591070061168,-0.005264089299388319,3.17161655780592,TRUE
rk_leverage,-0.015,-0.010841137683149404,0.004158862316850595,-3.558076253482115,TRUE
miss_rk_fcf_growth,0,-0.006625451005959907,-0.006625451005959907,-2.7000687000881274,TRUE
rk_divy,0,-0.008154078425673148,-0.008154078425673148,-2.2965853191505987,TRUE
rk_mom_6_1,0,-0.008935660061764166,-0.008935660061764166,-2.278571263087408,TRUE
rk_op_margin,0,0.008583795202559183,0.008583795202559183,1.5402238786900166,FALSE
rk_cash_ratio,0,-0.003967232999566506,-0.003967232999566506,-1.4818670805628253,FALSE
rk_int_coverage,0,-0.004703836866225227,-0.004703836866225227,-1.4812524228143127,FALSE
rk_fcf_growth,0,-0.005332127055026734,-0.005332127055026734,-1.2414120856873894,FALSE
rk_gross_margin,0,-0.006567165847341816,-0.006567165847341816,-1.187840282341896,FALSE
rk_mom_1m,0,-0.0035786424122052868,-0.0035786424122052868,-1.1542921415520575,FALSE
rk_net_margin,0,-0.006130158846965595,-0.006130158846965595,-1.120675882285516,FALSE
rk_log_mktcap,0,0.0035910148970165453,0.0035910148970165453,0.9889714539342019,FALSE
rk_current_ratio,0,-0.004142922435868401,-0.004142922435868401,-0.9181103800844325,FALSE
rk_turnover,0,0.0030300204533377194,0.0030300204533377194,0.9044057774237065,FALSE
rk_roic,0,-0.0034812253856147946,-0.0034812253856147946,-0.791534470699198,FALSE
miss_rk_eps_growth,0,-0.0012489566190527258,-0.0012489566190527258,-0.6503546117047249,FALSE
miss_rk_fcfp,0,-0.0012901148732787895,-0.0012901148732787895,-0.5673455625279242,FALSE
rk_roa,0,-0.003071718228260466,-0.003071718228260466,-0.523174678158803,FALSE
miss_rk_ebitda_ev,0,0.0013182883644329052,0.0013182883644329052,0.5118894324209482,FALSE
miss_rk_int_coverage,0,-0.001350853074334451,-0.001350853074334451,-0.43214770364383154,FALSE
rk_eps_growth,0,-0.002295900406208986,-0.002295900406208986,-0.42903073625495314,FALSE
rk_vol_12m,0,-0.0015753265257236252,-0.0015753265257236252,-0.4078851039909118,FALSE
rk_sp,0,0.0016006126033865753,0.0016006126033865753,0.34494212293166787,FALSE
rk_ebitda_ev,0,0.0011762840444903846,0.0011762840444903846,0.21419133381640967,FALSE
rk_bp,0,-9.103606352006497e-4,-9.103606352006497e-4,-0.19191391614768774,FALSE
rk_rev_growth,0,1.6858287266890976e-4,1.6858287266890976e-4,0.059304994114905904,FALSE
