size_dec,mean_ic,t_stat,hit,n_mo
1,0.024817492200404457,2.730122248942545,0.5586592178770949,179
2,0.026189338637319315,2.7109445452729375,0.547486033519553,179
3,0.024366264994626893,2.5126604663941556,0.5865921787709497,179
4,0.03779598745025252,3.741994039808872,0.5810055865921788,179
5,0.02406420152668638,2.2702256375371066,0.5418994413407822,179
6,0.011598039475549805,1.1705706159947409,0.5251396648044693,179
7,0.024001665337037733,2.423521770558506,0.5586592178770949,179
8,0.02598662930021681,2.6294596288987293,0.5921787709497207,179
9,0.01702268440214845,1.8032544483931934,0.5698324022346368,179
10,0.0012954035943870202,0.1364387737910861,0.48044692737430167,179
