form_date,ic,era
2000-01-31,0.0663929536643905,2000-2009
2000-02-29,-0.07764345707887238,2000-2009
2000-03-31,7.648549101219414e-5,2000-2009
2000-04-30,0.02412267319240629,2000-2009
2000-05-31,0.03471255362402239,2000-2009
2000-06-30,0.006452577737244129,2000-2009
2000-07-31,0.06070468409280413,2000-2009
2000-08-31,0.11301052874303533,2000-2009
2000-09-30,0.06546052344672053,2000-2009
2000-10-31,0.041827407340656896,2000-2009
2000-11-30,0.031135768636704447,2000-2009
2000-12-31,-0.06598174773586993,2000-2009
2001-01-31,-0.09637464211961844,2000-2009
2001-02-28,-0.003282711306810029,2000-2009
2001-03-31,0.056128162111567494,2000-2009
2001-04-30,-0.014462856812739247,2000-2009
2001-05-31,0.030450757166950886,2000-2009
2001-06-30,-0.052341266649406054,2000-2009
2001-07-31,-0.08704519103532153,2000-2009
2001-08-31,-0.05756455881988093,2000-2009
2001-09-30,0.16022356949920688,2000-2009
2001-10-31,0.0447001420739497,2000-2009
2001-11-30,-0.0786411073135208,2000-2009
2001-12-31,0.004296100214549137,2000-2009
2002-01-31,0.04904430571499604,2000-2009
2002-02-28,-0.046079476009657235,2000-2009
2002-03-31,0.038179809955726264,2000-2009
2002-04-30,-0.03994752816220121,2000-2009
2002-05-31,0.03347117402476542,2000-2009
2002-06-30,0.11085787849333996,2000-2009
2002-07-31,0.021360321228568346,2000-2009
2002-08-31,-0.042819794344784785,2000-2009
2002-09-30,0.04859589442649625,2000-2009
2002-10-31,0.012108420614530236,2000-2009
2002-11-30,-0.024460844348587918,2000-2009
2002-12-31,0.1134253791532465,2000-2009
2003-01-31,0.022195589663661364,2000-2009
2003-02-28,-0.03773084074491046,2000-2009
2003-03-31,0.048635967259944936,2000-2009
2003-04-30,0.05894907612788509,2000-2009
2003-05-31,-0.022426300752640523,2000-2009
2003-06-30,0.0540303716636665,2000-2009
2003-07-31,-0.039727415500386803,2000-2009
2003-08-31,0.03596087521753306,2000-2009
2003-09-30,0.03135646329504671,2000-2009
2003-10-31,0.03338837298888965,2000-2009
2003-11-30,-0.08092603082733883,2000-2009
2003-12-31,0.12116858294259283,2000-2009
2004-01-31,-0.05005963895590613,2000-2009
2004-02-29,0.0031277709764364133,2000-2009
2004-03-31,-0.04939687553806652,2000-2009
2004-04-30,0.021393132022239143,2000-2009
2004-05-31,-0.024157059519669153,2000-2009
2004-06-30,-0.0399486699831409,2000-2009
2004-07-31,0.002104840989724316,2000-2009
2004-08-31,-0.02021645268842335,2000-2009
2004-09-30,0.06835856205796967,2000-2009
2004-10-31,-0.008387769088714712,2000-2009
2004-11-30,0.020357727583881526,2000-2009
2004-12-31,-0.13047892237432407,2000-2009
2005-01-31,-0.06381318982647696,2000-2009
2005-02-28,0.030021506612554004,2000-2009
2005-03-31,-0.004175914936329239,2000-2009
2005-04-30,0.10402902257044759,2000-2009
2005-05-31,-0.006883492862154682,2000-2009
2005-06-30,-0.008278610915130196,2000-2009
2005-07-31,-0.007190274915131591,2000-2009
2005-08-31,-8.825453277660985e-4,2000-2009
2005-09-30,0.022372723378371158,2000-2009
2005-10-31,0.02618389500488404,2000-2009
2005-11-30,-0.041664206113516386,2000-2009
2005-12-31,-0.04072481844350266,2000-2009
2006-01-31,0.013771059883805345,2000-2009
2006-02-28,-0.034807452846798065,2000-2009
2006-03-31,-0.0018450360686388758,2000-2009
2006-04-30,-0.050451657250490424,2000-2009
2006-05-31,-0.005216811027597769,2000-2009
2006-06-30,0.005288246530333841,2000-2009
2006-07-31,0.04276013931821539,2000-2009
2006-08-31,0.051908408323429266,2000-2009
2006-09-30,-0.023146486498424827,2000-2009
2006-10-31,-0.01554141844721496,2000-2009
2006-11-30,0.05680777145949053,2000-2009
2006-12-31,0.024192612151083738,2000-2009
2007-01-31,-0.025987339665092455,2000-2009
2007-02-28,-0.061353203624253005,2000-2009
2007-03-31,0.022592596066978277,2000-2009
2007-04-30,0.023067292996998893,2000-2009
2007-05-31,0.0070803363824418096,2000-2009
2007-06-30,-0.12851308202345202,2000-2009
2007-07-31,-0.07235551573785705,2000-2009
2007-08-31,-0.02701779250588346,2000-2009
2007-09-30,0.012572586712700139,2000-2009
2007-10-31,-0.05803182723220311,2000-2009
2007-11-30,-0.0098703471791512,2000-2009
2007-12-31,0.13083848429529743,2000-2009
2008-01-31,0.010116503885719321,2000-2009
2008-02-29,-0.05725953774616415,2000-2009
2008-03-31,0.009241573176045383,2000-2009
2008-04-30,0.03261586273960698,2000-2009
2008-05-31,0.02710240304266741,2000-2009
2008-06-30,-0.012099003945413972,2000-2009
2008-07-31,0.04204333990448947,2000-2009
2008-08-31,-0.04299982738982459,2000-2009
2008-09-30,-0.10481776846085412,2000-2009
2008-10-31,-0.044989679338672546,2000-2009
2008-11-30,0.09464572804405219,2000-2009
2008-12-31,-0.003632016479031614,2000-2009
2009-01-31,0.0339893577657094,2000-2009
2009-02-28,0.052726907904638666,2000-2009
2009-03-31,0.06812953492465948,2000-2009
2009-04-30,0.08520893300264049,2000-2009
2009-05-31,-0.02155240878289442,2000-2009
2009-06-30,0.13089055228830523,2000-2009
2009-07-31,0.06755191770743876,2000-2009
2009-08-31,0.1138737265771947,2000-2009
2009-09-30,-0.07718519480992031,2000-2009
2009-10-31,-0.040011099363138236,2000-2009
2009-11-30,0.10119559912439342,2000-2009
2009-12-31,-0.06005726828291482,2000-2009
2010-01-31,0.07752719538943276,2010-2023
2010-02-28,-0.01727030327320303,2010-2023
2010-03-31,-0.0509200398694164,2010-2023
2010-04-30,0.0490632524338053,2010-2023
2010-05-31,-0.052138868672106,2010-2023
2010-06-30,0.016715204954355235,2010-2023
2010-07-31,0.04318926222007921,2010-2023
2010-08-31,0.10631237433207584,2010-2023
2010-09-30,0.019243409750664263,2010-2023
2010-10-31,-0.00920153046747062,2010-2023
2010-11-30,-0.09712745582254399,2010-2023
2010-12-31,0.038895076334112745,2010-2023
2011-01-31,0.04789762946655246,2010-2023
2011-02-28,-0.0038631201317914487,2010-2023
2011-03-31,-0.0011524462804110177,2010-2023
2011-04-30,0.08809938928259861,2010-2023
2011-05-31,0.13334390390679046,2010-2023
2011-06-30,0.07036363369224206,2010-2023
2011-07-31,0.19993747896350153,2010-2023
2011-08-31,0.1265698937557541,2010-2023
2011-09-30,-0.07743823587404197,2010-2023
2011-10-31,0.08933366147165728,2010-2023
2011-11-30,0.10920638511668511,2010-2023
2011-12-31,-0.1421328553098308,2010-2023
2012-01-31,-0.024190919953686708,2010-2023
2012-02-29,-0.03900379030973876,2010-2023
2012-03-31,0.02251708332410019,2010-2023
2012-04-30,0.11530934931997887,2010-2023
2012-05-31,-0.05426285123871765,2010-2023
2012-06-30,0.07844996906238985,2010-2023
2012-07-31,-0.0722655493738068,2010-2023
2012-08-31,-0.017578770782392634,2010-2023
2012-09-30,0.20555694413767553,2010-2023
2012-10-31,-0.008274938517422541,2010-2023
2012-11-30,-0.05788607907726957,2010-2023
2012-12-31,-0.021910006224761386,2010-2023
2013-01-31,-0.04819498056312018,2010-2023
2013-02-28,0.049192169675055325,2010-2023
2013-03-31,0.014022713272419735,2010-2023
2013-04-30,0.11299067647666353,2010-2023
