feature,ic_drop,sd_drop
rk_fcfp,0.01488947149207589,6.200605342723922e-4
rk_divy,0.014392788796608325,7.81485726209156e-4
rk_sp,0.008854777434229244,3.086515329321893e-4
rk_current_ratio,0.004957356527556693,2.763589127826777e-4
rk_gross_margin,0.004038454028489642,3.519882858092914e-4
rk_roa,0.003589434607649341,7.433340665265131e-4
rk_net_margin,0.0033426634237738637,1.530535712124632e-4
rk_rev_growth,0.0032541202855252277,1.7799204953136997e-4
rk_vol_12m,0.0029247398132660196,3.3911102277218167e-4
rk_mom_6_1,0.0028373699096506666,4.759221889906588e-4
rk_roe,0.0023720595220188038,3.654808144936316e-4
rk_op_margin,0.0017060207952189026,3.977916094016387e-4
rk_asset_growth,0.0015791071820314834,8.709489979903189e-4
rk_mom_1m,0.0013684177686909132,3.543795942214152e-5
miss_rk_vol_12m,7.60953279773884e-4,2.1704361828651903e-4
rk_eps_growth,7.444237968830073e-4,2.0777580070739264e-4
miss_rk_rev_growth,6.621188822588849e-4,2.170578681968065e-4
miss_rk_fcf_growth,6.032842829247533e-4,7.25543389221514e-5
miss_rk_int_coverage,4.01571164317438e-4,7.955802375140904e-5
rk_int_coverage,3.6323477613763494e-4,3.162358252331443e-4
rk_fcf_growth,1.4524782954510965e-4,1.5943747264948144e-4
rk_turnover,1.2912568174339167e-4,8.975162278464204e-5
miss_rk_eps_growth,-1.9012121854233843e-5,7.679364685438765e-5
rk_roic,-2.3560890027959913e-5,4.01159254101295e-4
rk_leverage,-5.571720300427685e-5,6.329572782999826e-4
miss_rk_mom_12_1,-1.1288624827504128e-4,8.211865242567207e-5
miss_rk_current_ratio,-1.2707722015279274e-4,1.637516003042324e-4
miss_rk_roe,-2.28345476441257e-4,3.1193427169034504e-5
miss_rk_fcfp,-4.08098819997237e-4,7.414653144830084e-5
rk_mom_12_1,-5.660617680541084e-4,4.266353905529546e-4
rk_bp,-8.905599404124507e-4,2.3248175655202793e-4
miss_rk_roa,-8.964334044341965e-4,1.4102817494238148e-4
miss_rk_cash_ratio,-9.080504140914954e-4,5.2254776384928296e-5
rk_cash_ratio,-9.546444690602951e-4,0.0010199921753210636
rk_ep,-0.0010686791470441298,3.7036590318704273e-4
miss_rk_asset_growth,-0.001600114499350667,2.5893682022142925e-5
rk_log_mktcap,-0.002267838224526956,1.8543538414868185e-4
rk_ebitda_ev,-0.003010637369413663,5.367007730895121e-4
