n_side,min_cap,hold_mo,cost_bps,sector_neutral,n_months,ann_ret,ann_vol,sharpe,capm_a,capm_t,beta,ff6_a,ff6_t
25,100,1,20,FALSE,180,0.0640112705342224,0.30431424786963146,0.31470601743302673,-0.10872529836067701,-2.0279176380995656,1.520482973301197,-0.02376232326658203,-0.609820153024777
25,100,1,50,FALSE,180,-0.010018344918498068,0.30431424786963146,0.07810848542773963,-0.18072529836067716,-3.3708440052345297,1.520482973301197,-0.09576232326658217,-2.457579335710941
25,100,3,20,FALSE,178,0.07370833967722956,0.28943254476252633,0.34903056767353124,-0.09076434563437152,-1.8368895941281989,1.4812877238745763,-0.011717191215578952,-0.3472234581361608
25,100,3,50,FALSE,178,0.048282835416062486,0.28943254476252633,0.2661096922077419,-0.11476434563437146,-2.322601796986653,1.4812877238745763,-0.0357171912155789,-1.0584317026673211
25,100,6,20,FALSE,175,0.08926370375057724,0.2904727361513821,0.3981963210824251,-0.09505406238340923,-1.9023038950302855,1.5099198492525792,-0.009827941025690467,-0.30126536011124394
25,100,6,50,FALSE,175,0.07631090335930635,0.2904727361513821,0.35688435439324806,-0.10705406238340899,-2.1424582468588858,1.5099198492525792,-0.021827941025690193,-0.6691129399740727
25,100,12,20,FALSE,169,0.06309163259418593,0.2800062369679207,0.31516058311424633,-0.09831652224009571,-1.9856483354682994,1.4553203004778166,-0.01841462864301542,-0.5753630735133332
25,100,12,50,FALSE,169,0.05674184806379734,0.2800062369679207,0.2937324889940165,-0.10431652224009572,-2.106827255769358,1.4553203004778166,-0.024414628643015423,-0.7628324223665557
25,500,1,20,FALSE,180,0.05830861617957672,0.3030032073000645,0.29709733371247876,-0.1133979094925478,-2.1217614524034234,1.5124865258827684,-0.026959327900226166,-0.6985668811651359
25,500,1,50,FALSE,180,-0.01535434006944214,0.3030032073000645,0.05947608659248291,-0.18539790949254786,-3.468936415828001,1.5124865258827684,-0.09895932790022624,-2.5642222725025396
25,500,3,20,FALSE,178,0.07155554018930421,0.2885145077476902,0.34231636264441595,-0.0931150292328061,-1.9009498293054514,1.4820069150800494,-0.013747272670561216,-0.41281263116246164
25,500,3,50,FALSE,178,0.04617726465239791,0.2885145077476903,0.25913163759416546,-0.11711502923280606,-2.3909115065902724,1.4820069150800501,-0.03774727267056116,-1.1335012641242022
25,500,6,20,FALSE,175,0.08815824282748119,0.2897237567423033,0.39501792060701646,-0.09650664532330387,-1.9475381230288322,1.5115928909880996,-0.011450059767039228,-0.3536862443287744
25,500,6,50,FALSE,175,0.07521768986611344,0.2897237567423033,0.3535991562815441,-0.10850664532330367,-2.1897023532541495,1.5115928909880996,-0.023450059767039094,-0.7243598493839142
25,500,12,20,FALSE,169,0.06389367309773575,0.2800433651829757,0.317802219463853,-0.09811661635648482,-1.9897142222602442,1.4596229031175714,-0.017947677898662855,-0.5654150821022674
25,500,12,50,FALSE,169,0.057539506497959136,0.2800433651829757,0.29637696628536864,-0.10411661635648484,-2.1113886722859814,1.4596229031175714,-0.023947677898662884,-0.7544362196426492
25,2000,1,20,FALSE,180,0.09820562407328537,0.25496828283878314,0.44704734944800256,-0.07318719386214806,-1.8874187032172147,1.3916681538009401,-0.01620738611016177,-0.5139975236849692
25,2000,1,50,FALSE,180,0.02207791519033009,0.25496828283878314,0.16465928455474807,-0.14518719386214787,-3.744220958644618,1.3916681538009401,-0.08820738611016157,-2.79738988897911
25,2000,3,20,FALSE,178,0.11523493190878109,0.24895343873788978,0.5146172327242218,-0.04898366289000612,-1.31305985749833,1.3678595801729188,0.014784985621630886,0.5110822177783236
25,2000,3,50,FALSE,178,0.08893388200259977,0.24895343873788983,0.4182136637609974,-0.07298366289000607,-1.9564057144777063,1.3678595801729188,-0.009215014378369083,-0.31854139773160683
25,2000,6,20,FALSE,175,0.13139282599321023,0.24616835001092527,0.5758284886527641,-0.04938853626064038,-1.3246916245766587,1.369618666071959,0.014996826336299323,0.5208508702535164
25,2000,6,50,FALSE,175,0.11799560271920662,0.2461683500109252,0.5270813609270943,-0.06138853626064024,-1.6465537549104965,1.3696186660719591,0.0029968263362994585,0.10408199510066501
25,2000,12,20,FALSE,169,0.10419250616116571,0.23708359457514191,0.4845129483887845,-0.05515159438145174,-1.4985934963368286,1.3262832576723236,0.007282503973609728,0.26460527091496955
25,2000,12,50,FALSE,169,0.0976247943099926,0.23708359457514191,0.45920541915736673,-0.06115159438145164,-1.6616270600780936,1.3262832576723236,0.0012825039736098238,0.04659898746589255
50,100,1,20,FALSE,180,0.06855007800059099,0.2735757812930082,0.33448524330206364,-0.10491789735211764,-2.4104401294395505,1.460481008620961,-0.03285328590894031,-1.148487339279938
50,100,1,50,FALSE,180,-0.005718765219134947,0.2735757812930082,0.07130405211728631,-0.17691789735211794,-4.064606803569391,1.4604810086209612,-0.1048532859089406,-3.665468096010067
50,100,3,20,FALSE,178,0.081094563549017007,0.26669793360705535,0.3815296690510421,-0.08320053120041232,-1.9710105747939877,1.4285238040096928,-0.01106792357493611,-0.41658003679666106
50,100,3,50,FALSE,178,0.05552137358242337,0.26669793360705535,0.29154022040626604,-0.10720053120041242,-2.539567687501719,1.428523804009693,-0.03506792357493624,-1.3199040266515178
50,100,6,20,FALSE,175,0.10097902637381284,0.26445786301328345,0.4518395935803049,-0.08023619340540702,-1.8873273515128663,1.4311667641582262,-0.003535984001055623,-0.13821520006144777
50,100,6,50,FALSE,175,0.08790589746920285,0.26445786301328345,0.4064637448032267,-0.09223619340540705,-2.1695930879208976,1.4311667641582264,-0.015535984001055637,-0.6072734311626707
50,100,12,20,FALSE,169,0.07639583945864992,0.25922220132877544,0.36686998510510255,-0.08477165349254481,-1.9715655437005994,1.4031263740707332,-0.011175290293016261,-0.43247525973254236
50,100,12,50,FALSE,169,0.06997634874127012,0.25922220132877544,0.34372381950183273,-0.09077165349254478,-2.1111097518744297,1.4031263740707332,-0.017175290293016218,-0.664670709726072
50,500,1,20,FALSE,180,0.06207195879279581,0.2706859112097437,0.31319995952179036,-0.1093899830268216,-2.5363113351018733,1.4437057558800857,-0.035893095973336744,-1.2879946052457456
50,500,1,50,FALSE,180,-0.01177991799877487,0.2706859112097437,0.04720901940148976,-0.1813899830268217,-4.205700168287445,1.4437057558800857,-0.10789309597333685,-3.87165614412728
50,500,3,20,FALSE,178,0.07939746612520415,0.2666668203245929,0.37568973450847776,-0.08501946172243334,-2.020309562645304,1.4304527406112608,-0.012264284335293028,-0.4634857817064258
50,500,3,50,FALSE,178,0.05386105262549368,0.2666668203245929,0.28568978636799813,-0.1090194617224333,-2.5906193307991665,1.4304527406112606,-0.03626428433529297,-1.370481938746226
50,500,6,20,FALSE,175,0.10064109340962668,0.26396974505138504,0.45112491922619935,-0.08101171157111736,-1.9228346541558266,1.4337916117980696,-0.004001264125883729,-0.15795593614607983
50,500,6,50,FALSE,175,0.0875717283279498,0.26396974505138504,0.4056651639892344,-0.09301171157111737,-2.2076578655456274,1.4337916117980696,-0.016001264125883735,-0.6316740347568085
50,500,12,20,FALSE,169,0.0766450609876459,0.2591603990274371,0.3677910232171502,-0.08507062929960937,-1.9903160531286197,1.4071437123980617,-0.01124476991955508,-0.43947902023088786
50,500,12,50,FALSE,169,0.07022421784688015,0.2591603990274371,0.3446393379191013,-0.09107062929960932,-2.130692307743048,1.4071437123980617,-0.017244769919555033,-0.6739768481321669
50,2000,1,20,FALSE,180,0.09889029550383088,0.23645421981192966,0.46768627886115927,-0.07263740009288108,-2.314334752157966,1.3623262189779481,-0.02766112523424613,-1.1261451245673382
50,2000,1,50,FALSE,180,0.022740874859138227,0.23645421981192966,0.16318758961269852,-0.144637400092881,-4.608360996796426,1.3623262189779484,-0.099661125234246,-4.05742316485701
50,2000,3,20,FALSE,178,0.12169383586936755,0.2342694597333851,0.5576631792611172,-0.04433300832687315,-1.434556595038596,1.351462721865516,0.006039930361370774,0.2609109386725536
50,2000,3,50,FALSE,178,0.09525980961799796,0.2342694597333851,0.4552170472415461,-0.06833300832687306,-2.2111643548160047,1.3514627218655157,-0.01796006963862912,-0.7758332211922493
50,2000,6,20,FALSE,175,0.13676803348207067,0.22881079235922064,0.623528968352093,-0.04427296406654281,-1.4636290645262005,1.339550832042293,0.007723274646746105,0.35319361907373736
