ticker,company,sector,price,mktcap,score,decile,fwd_12m
HOUS,ANYWHERE REAL ESTATE INC,Real Estate,8.11,896.0576799999999,100,10,-0.5930941004749855
PTON,PELOTON INTERACTIVE INC,Cons Disc,6.09,2108.3153700000003,100,10,0.4285729249861219
DISH,DISH NETWORK CORP,Telecom,5.77,1707.6603499999999,100,10,NA
ATUS,ALTICE USA INC,Telecom,3.25,878.813,100,10,-0.2584600417657781
LUMN,LUMEN TECHOLOGIES INC,Telecom,1.83,1846.28517,100,10,1.9016433654964913
CVNA,CARVANA CO,Cons Disc,52.94,6036.7482,100,10,2.841327148108311
HBI,HANESBRANDS INC,Cons Disc,4.46,1561.1828600000001,100,10,0.8251134501979331
PRAA,P R A GROUP INC,Financials,26.2,1028.2714,100,10,-0.2026718092981864
ADV,ADVANTAGE SOLUTIONS INC,Telecom,3.62,1166.4907,100,10,-0.19336986385532984
FUBO,FUBOTV INC,Telecom,3.18,931.1230800000001,100,10,-0.603773788230616
VIR,VIR BIOTECHNOLOGY INC,Health Care,10.06,1355.89686,99,10,-0.27037653813354123
PARA,PARAMOUNT GLOBAL,Telecom,14.79,9051.48,99,10,-0.2795559423566205
DDD,3 D SYSTEMS CORP DEL,Industrials,6.35,847.3059,99,10,-0.4834649111455882
UNFI,UNITED NATURAL FOODS INC,Cons Staples,16.23,964.19184,99,10,0.6826882197171049
TDS,TELEPHONE & DATA SYSTEMS INC,Telecom,18.35,1945.1000000000001,99,10,0.8899878910804415
NWL,NEWELL BRANDS INC,Cons Disc,8.68,3596.124,99,10,0.18882941532171293
HE,HAWAIIAN ELECTRIC INDUSTRIES INC,Utilities,14.19,1562.65956,99,10,-0.3143059702423935
W,WAYFAIR INC,Cons Disc,61.7,5692.1952,99,10,-0.2816856869056841
COMP,COMPASS INC,Real Estate,3.76,1816.24544,99,10,0.5558503871988256
DKNG,DRAFTKINGS INC,Cons Disc,35.25,16662.56925,99,10,0.05531997430543245
BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care,5.99,1232.56829,99,10,0.25542652362396967
SAGE,SAGE THERAPEUTICS INC,Health Care,21.67,1301.1534800000002,99,10,-0.7494234338781143
MRVI,MARAVAI LIFESCIENCES HLDGS INC,Health Care,6.55,866.0934,99,10,-0.1679393522808712
BKU,BANKUNITED INC,Financials,32.43,2412.20826,99,10,0.2201074200050337
