feature,mean_spread,n_sectors,n_positive,n_sig,consistency
asset_growth,-0.05586525676191855,10,0,9,1
fcfp,0.03457530765378775,10,8,9,0.8
bp,0.044790698135942504,10,9,8,0.9
sp,0.10007905624529251,10,10,8,1
ebitda_ev,0.06173918499105602,10,9,7,0.9
current_ratio,-0.036405957368267065,9,0,6,1
ep,0.032025274208960834,10,9,6,0.9
eps_growth,0.004700586833050479,9,7,6,0.7777777777777778
int_coverage,0.029098593476807624,10,8,6,0.8
leverage,0.013951899447156465,10,7,6,0.7
cash_ratio,-0.03412324278805007,9,2,5,0.7777777777777778
divy,0.011145000220964827,10,7,5,0.7
net_margin,0.015473098028523442,10,7,5,0.7
roa,0.020712036410157845,10,7,5,0.7
log_mktcap,-0.007477496348939179,10,5,4,0.5
rev_growth,-0.017864680364579714,10,3,4,0.7
roe,0.022828200027645712,10,8,4,0.8
roic,0.03169587454041915,10,10,4,1
turnover,0.007350587651073695,10,7,4,0.7
fcf_growth,0.014069772861974281,7,5,3,0.7142857142857143
gross_margin,0.0012001735848005933,10,4,3,0.6
mom_6_1,0.029881827925359896,10,10,3,1
op_margin,0.010506225150012694,10,7,3,0.7
mom_1m,0.02220874906571098,10,10,2,1
mom_12_1,-0.0026418103921348178,10,4,0,0.6
vol_12m,-0.01178276405299964,10,2,0,0.8
