sector,avg_monthly,annualised,t_stat,n_months
Industrials,0.009268117108962443,0.11706552484042643,2.443385377538578,179
Financials,0.0055296971204205035,0.06841214931094974,1.794451250908129,179
Energy,0.010245403491961173,0.13011489113983443,1.7433456009661723,179
Tech,0.006254109382596414,0.07768541083058,1.33531841856256,179
Cons Staples,0.005184389862108718,0.06401763622290413,1.0909566080090458,179
Utilities,0.0033518362529928168,0.04097187965605209,0.8498113032369018,179
Health Care,0.004083475784346072,0.0501173630935865,0.7643120281040767,179
Materials,0.003280692274485291,0.040086487274016314,0.6275761668830615,179
Cons Disc,0.0017355559933251625,0.021026628735420827,0.31464368932035086,179
Telecom,0.0020254183811377943,0.024577609986897064,0.28642469042109453,179
