term,coef,t,n_mo,band
rk_accruals,-0.0033405179688921487,-1.5321804198341373,369,Small
rk_capx_at,-1.3820661484643452e-4,-0.05152973191379495,369,Small
rk_capx_ocf,-0.0031250309279690787,-0.821906835303891,369,Small
rk_capx_sales,6.792776290640765e-4,0.21339320575589413,369,Small
rk_cash_conv,-3.7615379466540884e-4,-0.2400813089121769,369,Small
rk_opex_sales,0.0012307334839801955,0.30298243135946795,369,Small
rk_accruals,-0.00440985435200159,-2.173084128513414,369,Mid
rk_capx_at,-0.004070034548912386,-1.4557869964445167,369,Mid
rk_capx_ocf,2.6418140320452245e-4,0.08239584051845786,369,Mid
rk_capx_sales,0.0044399223619473824,1.1611006131323454,369,Mid
rk_cash_conv,-0.001950168110735442,-1.1987536611322591,369,Mid
rk_opex_sales,6.859661809327382e-4,0.17009731764969563,369,Mid
rk_accruals,-0.003657967129370627,-1.9404839633102686,369,Large
rk_capx_at,-0.001401276941410312,-0.4663146032959167,369,Large
rk_capx_ocf,-0.003353056695577685,-1.1626360199299597,369,Large
rk_capx_sales,0.002515973574009799,0.7201326160788404,369,Large
rk_cash_conv,-0.0032131432163501916,-2.3614477077029132,369,Large
rk_opex_sales,0.001478043176358474,0.36313139563729896,369,Large
rk_accruals,-0.0043561726805398686,-2.9050950623494294,369,All
rk_capx_at,-0.0013551387214235172,-0.5937400275427009,369,All
rk_capx_ocf,-0.0023322640233959598,-0.862428405474512,369,All
rk_capx_sales,0.002135827124139741,0.6864295516764639,369,All
rk_cash_conv,-0.0021412754896463267,-1.7587020721782447,369,All
rk_opex_sales,9.750740480970377e-4,0.2504209996666359,369,All
