factor,t_stat,n_obs,w,form_date
accruals,3.1165741772910622,49,0.15224142776644733,1999-05-31
asset_growth,1.1661810265785368,49,0.05696673796956666,1999-05-31
bp,0.24093256702604693,60,0.011769306909730921,1999-05-31
cash_ratio,0.7712748734379883,60,0.03767598050069426,1999-05-31
current_ratio,0.8664190382642694,60,0.04232367462661734,1999-05-31
ebitda_ev,1.6721651002166966,60,0.08168353706231694,1999-05-31
ep,1.4321397109316982,60,0.06995854484772195,1999-05-31
fcf_growth,1.1041967243835626,47,0.053938868864435295,1999-05-31
fcfp,3.332295475698283,60,0.16277919025849666,1999-05-31
gross_margin,1.6170055221135162,60,0.07898904867612289,1999-05-31
int_coverage,1.5190542617262213,60,0.07420423083301074,1999-05-31
rev_growth,-0.0592289693728962,49,0,1999-05-31
roa,1.3321018785648773,49,0.0650718001197581,1999-05-31
roe,1.5095351839118927,49,0.07373923371918208,1999-05-31
sp,0.7913866058737062,60,0.03865841784589868,1999-05-31
accruals,3.329433498917868,50,0.16904585664114632,1999-06-30
asset_growth,1.0801578437610115,50,0.054843026017964036,1999-06-30
bp,-0.02505696215849544,61,0,1999-06-30
cash_ratio,0.6012397594170328,61,0.030526841941850798,1999-06-30
current_ratio,0.907234947312474,61,0.046063184290381184,1999-06-30
ebitda_ev,1.3901335291601657,61,0.07058147079941336,1999-06-30
ep,1.2098902356096606,61,0.061429949385344004,1999-06-30
fcf_growth,1.2933925754835534,48,0.06566962697016744,1999-06-30
fcfp,3.5010882604816578,61,0.17776131115450838,1999-06-30
gross_margin,1.8444952551024805,61,0.09365085098431042,1999-06-30
int_coverage,1.427879507165485,61,0.07249795334478962,1999-06-30
rev_growth,-0.34157386511998933,50,0,1999-06-30
roa,1.1911385943734638,50,0.06047786932210483,1999-06-30
roe,1.406201140894607,50,0.071397274205821315,1999-06-30
sp,0.5131606033847127,61,0.026054784942198424,1999-06-30
accruals,3.4725709880995135,51,0.17161316692112843,1999-07-31
asset_growth,1.1312590120375354,51,0.055906399704755284,1999-07-31
bp,-0.09078576940404628,62,0,1999-07-31
cash_ratio,0.5793432744417917,62,0.028630929188239576,1999-07-31
current_ratio,0.9256729346136469,62,0.045746412207735176,1999-07-31
ebitda_ev,1.3547433318264384,62,0.06695091168381141,1999-07-31
ep,1.1683371267960843,62,0.05773878634824965,1999-07-31
fcf_growth,1.404379959166889,49,0.06940393534909306,1999-07-31
fcfp,3.677262341833731,62,0.18172893750611707,1999-07-31
gross_margin,1.8414816290297567,62,0.09100533733302585,1999-07-31
int_coverage,1.459700717874042,62,0.07213786667281523,1999-07-31
rev_growth,-0.25952268596837463,51,0,1999-07-31
roa,1.2555389117503428,51,0.06204826613382075,1999-07-31
roe,1.4816913843133683,51,0.07322463723079434,1999-07-31
sp,0.4828934295676822,62,0.023864413720414344,1999-07-31
accruals,3.579928470849816,52,0.1556657807997681,1999-08-31
asset_growth,1.39420160941261,52,0.060623971648793316,1999-08-31
bp,0.14751654190419103,63,0.0064144515353812374,1999-08-31
cash_ratio,0.8281306722856526,63,0.03600954844636366,1999-08-31
current_ratio,1.2243764172407023,63,0.05323947462485272,1999-08-31
ebitda_ev,1.56856685782977,63,0.06820588362279416,1999-08-31
ep,1.4285500151343873,63,0.06211754098668527,1999-08-31
fcf_growth,1.5396424608988195,50,0.06694816608204397,1999-08-31
fcfp,3.786673089527314,63,0.16465564267959035,1999-08-31
gross_margin,1.7976834289093522,63,0.07816854355348331,1999-08-31
int_coverage,1.7171181978857757,63,0.07466533121426536,1999-08-31
rev_growth,0.074667725963386,52,0.0032467715367157715,1999-08-31
roa,1.5166704016483137,52,0.06594927362681018,1999-08-31
roe,1.733524098760413,52,0.07537870786136014,1999-08-31
sp,0.660280056291883,63,0.028710911781092602,1999-08-31
accruals,3.6404725800380646,53,0.17605332118679287,1999-09-30
asset_growth,1.2665797327021586,53,0.06125181925907099,1999-09-30
bp,-0.01567574536727217,64,0,1999-09-30
cash_ratio,0.5346839924288157,64,0.025857327746037512,1999-09-30
current_ratio,1.1158862847164397,64,0.05396428133214128,1999-09-30
ebitda_ev,1.2937420911485635,64,0.06256539141505348,1999-09-30
ep,1.1233276079292176,64,0.05432414386010468,1999-09-30
fcf_growth,1.4841961765320761,51,0.07177575450066415,1999-09-30
fcfp,3.802375008966572,64,0.1838829256390737,1999-09-30
gross_margin,1.935062208217568,64,0.093579644117575,1999-09-30
int_coverage,1.4133444721000332,64,0.06834936476615452,1999-09-30
rev_growth,-0.07635658417965299,53,0,1999-09-30
roa,1.246538375266265,53,0.060282618843436,1999-09-30
roe,1.4658455110998403,53,0.07088831598154226,1999-09-30
sp,0.35618454871612937,64,0.01722509135235347,1999-09-30
accruals,3.6869970859228958,54,0.17524703738208897,1999-10-31
asset_growth,1.3208725669914254,54,0.06278252972000395,1999-10-31
bp,0.055022818841666876,65,0.002615295256735973,1999-10-31
cash_ratio,0.45895398050566205,65,0.021814588811426113,1999-10-31
current_ratio,0.9970477292342871,65,0.04739077807898817,1999-10-31
ebitda_ev,1.4373868287212608,65,0.06832058106777275,1999-10-31
ep,1.2530662139824136,65,0.05955961898707099,1999-10-31
fcf_growth,1.5623608008377758,52,0.0742607317792857,1999-10-31
fcfp,3.8260503194867197,65,0.18185639091629716,1999-10-31
gross_margin,1.7475280160314368,65,0.08306193371320537,1999-10-31
int_coverage,1.4781117563143142,65,0.07025628178626037,1999-10-31
rev_growth,-0.07471359432654966,54,0,1999-10-31
roa,1.255998483981809,54,0.05969899301374446,1999-10-31
roe,1.4893552995010118,54,0.07079069979290034,1999-10-31
sp,0.47010354051952136,65,0.022344539694219817,1999-10-31
accruals,3.718808139544528,55,0.19093168185195417,1999-11-30
asset_growth,1.1655076464775298,55,0.059839692396855645,1999-11-30
bp,-0.21570468720433744,66,0,1999-11-30
cash_ratio,0.3228827992988751,66,0.01657750375870474,1999-11-30
current_ratio,0.9143105155331923,66,0.04694268645089626,1999-11-30
ebitda_ev,1.1791097487245037,66,0.06053805385065601,1999-11-30
ep,0.9983579250136013,66,0.0512578628851825,1999-11-30
fcf_growth,1.5682000909137022,53,0.08051479657006795,1999-11-30
fcfp,3.8336023797951984,66,0.19682546731641812,1999-11-30
gross_margin,1.8448988424610626,66,0.09472111107107475,1999-11-30
int_coverage,1.2195322937539905,66,0.06261343505280687,1999-11-30
rev_growth,-0.3453321962205987,55,0,1999-11-30
roa,1.0684512873182412,55,0.05485660824909965,1999-11-30
roe,1.3794541750651634,55,0.07082417156243777,1999-11-30
sp,0.26405056176818004,66,0.013556928983845539,1999-11-30
accruals,3.813843703507849,56,0.20646525303442337,1999-12-31
asset_growth,0.9335317897905842,56,0.050537434719077075,1999-12-31
bp,-0.46985743056177154,67,0,1999-12-31
cash_ratio,0.16706982357371292,67,0.009044448614094107,1999-12-31
current_ratio,0.8518565796306937,67,0.046115886736711846,1999-12-31
ebitda_ev,0.8912403737626814,67,0.04824795759568215,1999-12-31
ep,0.7467790755424807,67,0.040427438243176475,1999-12-31
fcf_growth,1.8258726817715476,54,0.09884496968343787,1999-12-31
fcfp,3.8927760982103634,67,0.2107383166709532,1999-12-31
gross_margin,1.9820988742091874,67,0.10730239029628953,1999-12-31
int_coverage,1.1065281189553295,67,0.059902719101909425,1999-12-31
rev_growth,-0.5027782130388114,56,0,1999-12-31
roa,1.0265025794647273,56,0.05557047726280454,1999-12-31
roe,1.2319387905969421,56,0.0666919186776254,1999-12-31
sp,0.0020465105454411246,67,1.1078936381516768e-4,1999-12-31
accruals,3.9942761690289097,57,0.26670160539624643,2000-01-31
asset_growth,0.8386599180680986,57,0.05599811757248263,2000-01-31
bp,-0.7890069657996943,68,0,2000-01-31
cash_ratio,-0.15696916139216782,68,0,2000-01-31
current_ratio,0.573043602350211,68,0.03826266443314209,2000-01-31
ebitda_ev,0.42972460601300627,68,0.028693119216591845,2000-01-31
ep,0.30491810761446547,68,0.02035967103269538,2000-01-31
fcf_growth,1.7397571474422895,55,0.11616523359606848,2000-01-31
fcfp,3.590352745277295,68,0.23973125557241473,2000-01-31
gross_margin,2.013413919513801,68,0.13443755562651308,2000-01-31
int_coverage,0.4251447073584579,68,0.02838731504281156,2000-01-31
rev_growth,-0.8340512263723592,57,0,2000-01-31
roa,0.32281099235385363,57,0.021554395904792797,2000-01-31
roe,0.7444714846578656,57,0.049709066606241144,2000-01-31
sp,-0.37291167585985,68,0,2000-01-31
accruals,4.148308564589672,58,0.2610624423327243,2000-02-29
asset_growth,1.0213448700007506,58,0.064275543170152,2000-02-29
bp,-0.7810265300237522,69,0,2000-02-29
cash_ratio,-0.038706695727233294,69,0,2000-02-29
current_ratio,0.6935570019917882,69,0.04364711110993451,2000-02-29
ebitda_ev,0.4978835106252373,69,0.03133293564286053,2000-02-29
ep,0.41250623737812364,69,0.02595995069572834,2000-02-29
fcf_growth,1.6964852140646847,56,0.10676365233425911,2000-02-29
fcfp,3.762058624445031,69,0.23675485981927097,2000-02-29
gross_margin,2.0816202778704294,69,0.13100107315761644,2000-02-29
int_coverage,0.43466302324785916,69,0.027354327353909382,2000-02-29
rev_growth,-0.6830790995464873,58,0,2000-02-29
roa,0.3537444052763296,58,0.022261935669703574,2000-02-29
roe,0.7879292269036976,58,0.04958616871384088,2000-02-29
sp,-0.3369192412946873,69,0,2000-02-29
accruals,4.274617542146518,59,0.2861740295126969,2000-03-31
asset_growth,0.8797728096618003,59,0.05889839909986375,2000-03-31
bp,-0.9985453322951672,70,0,2000-03-31
cash_ratio,-0.21147366894630107,70,0,2000-03-31
current_ratio,0.5942643815909577,70,0.03978438562022964,2000-03-31
ebitda_ev,0.3888053427546772,70,0.026029461240712193,2000-03-31
ep,0.4233912897851856,70,0.02834489641792881,2000-03-31
fcf_growth,1.6911551272131853,57,0.11321824058267203,2000-03-31
fcfp,3.4897725596270117,70,0.23363079050337857,2000-03-31
gross_margin,2.1911859458371787,70,0.14669394521244916,2000-03-31
int_coverage,0.21995176836245384,70,0.014725173241842563,2000-03-31
rev_growth,-0.8688134076318792,59,0,2000-03-31
roa,0.10655484046243426,59,0.007133557039562669,2000-03-31
roe,0.6776544113850633,59,0.04536712152866359,2000-03-31
sp,-0.5954290951686747,70,0,2000-03-31
accruals,4.398603611927706,60,0.3098055590714317,2000-04-30
asset_growth,1.0190795329620184,60,0.07177653007682307,2000-04-30
bp,-0.858625253529756,71,0,2000-04-30
cash_ratio,-0.14225262850166534,71,0,2000-04-30
current_ratio,0.6337361221486623,71,0.044635750558114695,2000-04-30
ebitda_ev,0.46246331473262897,71,0.03257254310942088,2000-04-30
ep,0.42013551526794396,71,0.0295912816150092,2000-04-30
fcf_growth,1.4158459273795394,58,0.09972186125191522,2000-04-30
fcfp,3.350456824181811,71,0.2359817435573459,2000-04-30
gross_margin,1.869891465895206,71,0.1317015175960994,2000-04-30
int_coverage,0.06259306411016258,71,0.004408598939913206,2000-04-30
rev_growth,-0.6644849304153199,60,0,2000-04-30
roa,-1.0741854300332657e-4,60,0,2000-04-30
roe,0.5651438935489989,60,0.039804614223926775,2000-04-30
sp,-0.47586351109153546,71,0,2000-04-30
accruals,4.280025631169296,61,0.28114964639327295,2000-05-31
asset_growth,1.181797731501047,61,0.07763084685759652,2000-05-31
bp,-0.5812342891102472,72,0,2000-05-31
cash_ratio,-0.09765710518545569,72,0,2000-05-31
current_ratio,0.668972557335966,72,0.04394398869298986,2000-05-31
ebitda_ev,0.678201894656579,72,0.044550252567962426,2000-05-31
ep,0.48352329888505663,72,0.03176205383314568,2000-05-31
fcf_growth,1.4378086136234696,59,0.09444788843262206,2000-05-31
fcfp,3.4035536970940536,72,0.22357527755203754,2000-05-31
gross_margin,1.9562500866569088,72,0.1285036743974219,2000-05-31
int_coverage,0.3051319617663128,72,0.020043745189079032,2000-05-31
rev_growth,-0.5609564864799417,61,0,2000-05-31
roa,0.19648098885420137,61,0.012906595730892315,2000-05-31
roe,0.6315543182218624,61,0.041486030352979854,2000-05-31
sp,-0.23249525819879566,72,0,2000-05-31
accruals,4.463354212641805,62,0.30837089446792265,2000-06-30
asset_growth,1.1646205736887083,62,0.08046304884495477,2000-06-30
bp,-0.7296602493220179,73,0,2000-06-30
cash_ratio,-0.30462521845802915,73,0,2000-06-30
current_ratio,0.3395388951766546,73,0.023458571250230716,2000-06-30
ebitda_ev,0.5290020929450898,73,0.03654848815602437,2000-06-30
ep,0.31210074734569926,73,0.021562883436521046,2000-06-30
fcf_growth,1.6254318854331806,60,0.11230027027387468,2000-06-30
fcfp,3.2721473486553463,73,0.2260710122171673,2000-06-30
gross_margin,2.142161494158404,73,0.14800085867650178,2000-06-30
int_coverage,0.14685448301247583,73,0.010146102264282874,2000-06-30
rev_growth,-0.5322664070917679,62,0,2000-06-30
roa,0.005027127643224408,62,3.473217168278415e-4,2000-06-30
roe,0.47374131289225924,62,0.032730548695691856,2000-06-30
sp,-0.40820633486711994,73,0,2000-06-30
accruals,4.498124952660752,63,0.3010060823453684,2000-07-31
asset_growth,1.331764050428568,63,0.08911915156798367,2000-07-31
bp,-0.6540105609510081,74,0,2000-07-31
cash_ratio,-0.30960485260226606,74,0,2000-07-31
current_ratio,0.3623253069392242,74,0.02424612973720218,2000-07-31
ebitda_ev,0.5938285647100023,74,0.039737893395424294,2000-07-31
ep,0.28611096947637915,74,0.019146009269301732,2000-07-31
fcf_growth,1.7881842413572129,61,0.11966193439874734,2000-07-31
fcfp,3.2665722486275066,74,0.21859288605930013,2000-07-31
gross_margin,1.9993999205523474,74,0.1337960913627143,2000-07-31
int_coverage,0.25423394010120365,74,0.01701285827193915,2000-07-31
rev_growth,-0.4273783296552547,63,0,2000-07-31
roa,0.12590869380665576,63,0.008425573556720705,2000-07-31
roe,0.43718186321101815,63,0.02925539003529815,2000-07-31
sp,-0.34643451479636195,74,0,2000-07-31
accruals,4.529946308281678,64,0.31266073984225196,2000-08-31
asset_growth,1.3972237916955268,64,0.09643757225953319,2000-08-31
bp,-0.6882461247856632,75,0,2000-08-31
cash_ratio,-0.43911909923894377,75,0,2000-08-31
current_ratio,0.23007826445356697,75,0.015880197134822298,2000-08-31
ebitda_ev,0.5370024793846218,75,0.037064367009066825,2000-08-31
ep,0.12872424357997647,75,0.008884656570822888,2000-08-31
fcf_growth,1.6600229872897045,62,0.11457619583973017,2000-08-31
fcfp,3.224976579117985,75,0.22259062129666748,2000-08-31
gross_margin,2.133496643953178,75,0.14725574957253632,2000-08-31
int_coverage,0.2456141565879703,75,0.016952497598951757,2000-08-31
rev_growth,-0.3907399040130198,64,0,2000-08-31
roa,0.09216870080953968,64,0.006361561975409164,2000-08-31
roe,0.3091216817587801,64,0.02133584090020775,2000-08-31
sp,-0.4622406316327015,75,0,2000-08-31
accruals,4.692493475182537,65,0.32910339116305276,2000-09-30
asset_growth,1.284707822401273,65,0.09010171313866622,2000-09-30
bp,-0.8419879329702642,76,0,2000-09-30
cash_ratio,-0.5547935659331626,76,0,2000-09-30
current_ratio,0.18201778355436876,76,0.012765637317672583,2000-09-30
ebitda_ev,0.42765043422721716,76,0.02999284045484036,2000-09-30
ep,0.059443699933423015,76,0.0041690251323380795,2000-09-30
fcf_growth,1.6691281980621397,63,0.11706265617061035,2000-09-30
fcfp,3.1626766442714187,76,0.22181120001267962,2000-09-30
gross_margin,2.352855352063875,76,0.16501518422468095,2000-09-30
int_coverage,0.15743863257084062,76,0.01104180286092395,2000-09-30
rev_growth,-0.45481300371414113,65,0,2000-09-30
roa,0.04184223491513751,65,0.0029345637830380106,2000-09-30
roe,0.22816298980260982,65,0.01600198574149727,2000-09-30
sp,-0.6549239393348911,76,0,2000-09-30
accruals,4.8634081472659085,66,0.3419887260577218,2000-10-31
asset_growth,1.199490709035613,66,0.08434667358358033,2000-10-31
bp,-1.0365203002432184,77,0,2000-10-31
cash_ratio,-0.8239222399258538,77,0,2000-10-31
current_ratio,0.03765535112501962,77,0.002647876791451526,2000-10-31
ebitda_ev,0.24530820706938286,77,0.017249763681529487,2000-10-31
ep,-0.035129430382864923,77,0,2000-10-31
fcf_growth,1.851757180768799,64,0.13021322908614505,2000-10-31
fcfp,3.2309410695318057,77,0.2271957003974526,2000-10-31
gross_margin,2.579950448627373,77,0.18141886111576694,2000-10-31
int_coverage,-0.005546032373242777,77,0,2000-10-31
rev_growth,-0.5540391603937486,66,0,2000-10-31
roa,-0.10837171300029157,66,0,2000-10-31
roe,0.2124493355619198,66,0.014939169286352302,2000-10-31
sp,-0.9576869261191023,77,0,2000-10-31
accruals,5.00239282358688,67,0.3708507679458561,2000-11-30
asset_growth,0.8551613833542503,67,0.0633971115261529,2000-11-30
bp,-1.3867599169393212,78,0,2000-11-30
cash_ratio,-1.1246644939025674,78,0,2000-11-30
current_ratio,-0.23367738568264007,78,0,2000-11-30
ebitda_ev,-0.15964467384125897,78,0,2000-11-30
ep,-0.3487602151448536,78,0,2000-11-30
fcf_growth,1.8354102399313563,65,0.13606754226993584,2000-11-30
fcfp,3.0106470352266075,78,0.22319334054760107,2000-11-30
gross_margin,2.7853529638831924,78,0.2064912377104541,2000-11-30
int_coverage,-0.43576060443269826,78,0,2000-11-30
rev_growth,-0.8324251593212147,67,0,2000-11-30
roa,-0.5136397926292511,67,0,2000-11-30
roe,-0.02433678597214204,67,0,2000-11-30
sp,-1.2882077891934165,78,0,2000-11-30
accruals,5.159143103368326,68,0.38598420459286875,2000-12-31
asset_growth,0.7104440123615597,68,0.053152269965163146,2000-12-31
bp,-1.6572238641815797,79,0,2000-12-31
cash_ratio,-1.409017317716839,79,0,2000-12-31
current_ratio,-0.5659264545239496,79,0,2000-12-31
ebitda_ev,-0.510009139812146,79,0,2000-12-31
ep,-0.7347269638169702,79,0,2000-12-31
fcf_growth,1.7489419051143336,66,0.13084807624040387,2000-12-31
fcfp,2.7776561858185196,79,0.2078119160555257,2000-12-31
gross_margin,2.970017456500964,79,0.2222035331460385,2000-12-31
int_coverage,-0.6795399147860041,79,0,2000-12-31
rev_growth,-0.976580947138821,68,0,2000-12-31
roa,-0.7763654945355345,68,0,2000-12-31
roe,-0.33996765110196947,68,0,2000-12-31
sp,-1.574588467527592,79,0,2000-12-31
accruals,5.329923616293165,69,0.4172197256446072,2001-01-31
asset_growth,0.8394763409091739,69,0.06571315348095966,2001-01-31
bp,-1.7498951266589218,80,0,2001-01-31
cash_ratio,-1.6622990615187554,80,0,2001-01-31
current_ratio,-0.8087126466488994,80,0,2001-01-31
ebitda_ev,-0.7610940283104056,80,0,2001-01-31
ep,-1.0365755429295964,80,0,2001-01-31
fcf_growth,1.6655154759387112,67,0.13037445936444264,2001-01-31
fcfp,2.50089465435761,80,0.195766892112203,2001-01-31
gross_margin,2.4390499890674646,80,0.19092576939778738,2001-01-31
int_coverage,-0.8932062839552655,80,0,2001-01-31
rev_growth,-0.843018720947248,69,0,2001-01-31
roa,-1.0663710244610454,69,0,2001-01-31
roe,-0.7341346760678814,69,0,2001-01-31
sp,-1.7400193070859171,80,0,2001-01-31
accruals,5.463605435273629,70,0.4752742698956318,2001-02-28
asset_growth,1.1141746601091742,70,0.09692108158119238,2001-02-28
bp,-2.0037335898991016,81,0,2001-02-28
cash_ratio,-1.9294995565164668,81,0,2001-02-28
current_ratio,-1.2736799425637249,81,0,2001-02-28
ebitda_ev,-1.2059500629873907,81,0,2001-02-28
ep,-1.4269241360331086,81,0,2001-02-28
fcf_growth,1.1711981264735627,68,0.10188150316805895,2001-02-28
fcfp,1.9516175048382485,81,0.16976950398708274,2001-02-28
gross_margin,1.7950937758602243,81,0.15615364136803428,2001-02-28
int_coverage,-1.2348811506810176,81,0,2001-02-28
rev_growth,-0.8196685600103463,70,0,2001-02-28
roa,-1.4378337368112346,70,0,2001-02-28
roe,-1.2298587023129743,70,0,2001-02-28
sp,-2.025698563167785,81,0,2001-02-28
accruals,4.839158411928229,71,0.42154286045929723,2001-03-31
asset_growth,1.1669573257895935,71,0.10165456206904043,2001-03-31
bp,-1.4936454392863918,82,0,2001-03-31
cash_ratio,-1.5612881362410398,82,0,2001-03-31
current_ratio,-0.9715663049829462,82,0,2001-03-31
ebitda_ev,-0.8749755439570168,82,0,2001-03-31
ep,-1.0827781470467466,82,0,2001-03-31
fcf_growth,1.3425380089583523,69,0.1169495322113516,2001-03-31
fcfp,2.111402402992208,82,0.18392590875803091,2001-03-31
gross_margin,2.019579412550995,82,0.1759271365022799,2001-03-31
int_coverage,-0.6241708512006638,82,0,2001-03-31
rev_growth,-0.6870126500928867,71,0,2001-03-31
roa,-0.8164143307611952,71,0,2001-03-31
roe,-0.7798351161352284,71,0,2001-03-31
sp,-1.482258172598995,82,0,2001-03-31
accruals,3.799766775269804,72,0.3356089758197759,2001-04-30
asset_growth,1.5202949832662682,72,0.13427788400031657,2001-04-30
bp,-0.9525581430303119,83,0,2001-04-30
cash_ratio,-1.1720409512258918,83,0,2001-04-30
current_ratio,-0.6278942597565079,83,0,2001-04-30
ebitda_ev,-0.46153259643205957,83,0,2001-04-30
ep,-0.5690369952002954,83,0,2001-04-30
fcf_growth,1.5823560484603953,70,0.13975933898424947,2001-04-30
fcfp,2.3576391904027933,83,0.20823511569008457,2001-04-30
gross_margin,2.0619488160277966,83,0.18211868550557345,2001-04-30
int_coverage,-0.13845673224693444,83,0,2001-04-30
rev_growth,-0.26332892852588186,72,0,2001-04-30
roa,-0.2333157781906934,72,0,2001-04-30
roe,-0.3002098871428465,72,0,2001-04-30
sp,-0.983919507914241,83,0,2001-04-30
accruals,3.3725225544496076,73,0.289449742194862,2001-05-31
asset_growth,1.7191125954153628,73,0.14754436464491613,2001-05-31
bp,-0.6833062207060434,84,0,2001-05-31
cash_ratio,-0.9800648189424561,84,0,2001-05-31
current_ratio,-0.46317063393083374,84,0,2001-05-31
ebitda_ev,-0.28815803791647476,84,0,2001-05-31
ep,-0.3447779232364153,84,0,2001-05-31
fcf_growth,1.7157325093254572,71,0.14725426575557624,2001-05-31
fcfp,2.5514209487928996,84,0.21897796795585817,2001-05-31
gross_margin,2.2065135873898996,84,0.18937598747169765,2001-05-31
int_coverage,0.08619394649990442,84,0.007397671977089768,2001-05-31
rev_growth,-0.0332776988068349,73,0,2001-05-31
roa,-0.01869805942894869,73,0,2001-05-31
roe,-0.04685626880832682,73,0,2001-05-31
sp,-0.7681601133373336,84,0,2001-05-31
accruals,3.544898070229152,74,0.32606143180747466,2001-06-30
asset_growth,1.37189106468449,74,0.12618720086526763,2001-06-30
bp,-1.0400476619929109,85,0,2001-06-30
cash_ratio,-1.2958993901921667,85,0,2001-06-30
current_ratio,-0.7988963683651946,85,0,2001-06-30
ebitda_ev,-0.6243602535019998,85,0,2001-06-30
ep,-0.6886176952567773,85,0,2001-06-30
fcf_growth,1.825306737070698,72,0.1678925927871964,2001-06-30
fcfp,2.2040859489049542,85,0.20273288712085002,2001-06-30
gross_margin,1.925689932168157,85,0.17712588741921126,2001-06-30
int_coverage,-0.3413796108740421,85,0,2001-06-30
rev_growth,-0.31194715321455696,74,0,2001-06-30
roa,-0.44154122115370553,74,0,2001-06-30
roe,-0.3149511556087409,74,0,2001-06-30
sp,-1.1213219692763885,85,0,2001-06-30
accruals,3.3741214532489763,75,0.30561650766226456,2001-07-31
asset_growth,1.5224434008299783,75,0.13789777330839487,2001-07-31
bp,-0.8601147265684139,86,0,2001-07-31
cash_ratio,-1.1501261874791147,86,0,2001-07-31
current_ratio,-0.6842909094986162,86,0,2001-07-31
ebitda_ev,-0.4542616409834959,86,0,2001-07-31
ep,-0.4618468011080458,86,0,2001-07-31
fcf_growth,1.8221896197597327,73,0.1650477718735237,2001-07-31
fcfp,2.388895093583805,86,0.21637803670925776,2001-07-31
gross_margin,1.932727403895113,86,0.17505991044655905,2001-07-31
int_coverage,-0.1790949805987934,86,0,2001-07-31
rev_growth,-0.15902520801233352,75,0,2001-07-31
roa,-0.27250354312408526,75,0,2001-07-31
roe,-0.17822878371472636,75,0,2001-07-31
sp,-0.9627242971904474,86,0,2001-07-31
accruals,3.161937487874368,76,0.2883847789649728,2001-08-31
asset_growth,1.6538107987054365,76,0.15083595531648986,2001-08-31
bp,-0.8838816434398736,87,0,2001-08-31
cash_ratio,-1.2285102881111662,87,0,2001-08-31
current_ratio,-0.8115154949203092,87,0,2001-08-31
ebitda_ev,-0.47492616891925943,87,0,2001-08-31
ep,-0.47785162514382584,87,0,2001-08-31
fcf_growth,1.9201766572745897,74,0.1751298762247493,2001-08-31
fcfp,2.3239912670297223,87,0.21195982223843457,2001-08-31
gross_margin,1.8960173325983616,87,0.17292642295174332,2001-08-31
int_coverage,-0.1652467440507035,87,0,2001-08-31
rev_growth,0.008367343765170385,76,7.63144303610116e-4,2001-08-31
roa,-0.22336229417849832,76,0,2001-08-31
roe,-0.2377717702398906,76,0,2001-08-31
sp,-1.0302726774339357,87,0,2001-08-31
accruals,3.149846009577674,77,0.26456679243867587,2001-09-30
asset_growth,1.896953950219178,77,0.15933192304872504,2001-09-30
bp,-0.8261165416583366,88,0,2001-09-30
cash_ratio,-1.1116623136665815,88,0,2001-09-30
current_ratio,-0.6661716373726817,88,0,2001-09-30
ebitda_ev,-0.35630250680623715,88,0,2001-09-30
ep,-0.3021558731049553,88,0,2001-09-30
fcf_growth,2.0970737159372734,75,0.1761406954009692,2001-09-30
